COMMUNE,nom_commune,population_1990,population_1999,population_2006,population_2010,population_2012,population_2016,population_2018,population_2020,population_2026,surface_km2,density_2026_per_km2,code_postal,epci,canton,arrondissement
17434,Surgères,6049,6051,6172,6720,6821,6820,6974,6970,7152,28.6268,249.8,17700,CDC Aunis Sud,Surgères,Rochefort
17439,Taugon,610,612,665,827,842,795,802,793,781,15.7496,49.6,17170,CDC Aunis Atlantique,Marans,La Rochelle
17443,Thairé,951,1053,1411,1517,1588,1675,1750,1823,1939,18.7993,103.1,17290,CDA de La Rochelle,La Jarrie,La Rochelle
17447,Le Thou,1024,1170,1374,1660,1824,1876,1963,2045,2146,19.3391,111.0,17290,CDC Aunis Sud,Surgères,Rochefort
17457,La Devise,745,725,744,786,1100,1092,1168,1210,1200,26.8806,44.6,17700,CDC Aunis Sud,Saint-Jean-d'Angély,Rochefort
17466,Vérines,1166,1377,1676,2024,2171,2220,2303,2360,2421,13.5102,179.2,17540,CDA de La Rochelle,La Jarrie,La Rochelle
17472,Villedoux,958,934,1107,1445,1913,2240,2252,2316,2195,15.6836,140.0,17230,CDC Aunis Atlantique,Marans,La Rochelle
17480,Virson,387,435,643,744,763,758,772,774,747,9.9794,74.9,17290,CDC Aunis Sud,Surgères,Rochefort
17482,Vouhé,404,392,565,667,663,665,657,654,691,15.7639,43.8,17700,CDC Aunis Sud,Surgères,Rochefort
17483,Yves,893,1057,1374,1465,1484,1475,1508,1523,1611,25.8851,62.2,17340,CDA de La Rochelle,Châtelaillon-Plage,La Rochelle
