idINS,individuals,households,households_poor,households_1person,households_5plus_person,households_owner,households_single_parent,sum_niveau_de_vie_eur,sum_dwelling_surface_m2,households_collective_housing,households_house,households_social_housing,pop_0_3,pop_4_5,pop_6_10,pop_11_17,pop_18_24,pop_25_39,pop_40_54,pop_55_64,pop_65_79,pop_80p,avg_niveau_de_vie_eur
CRS3035RES200mN2626800E3458600,300.0,155.0,28.0,67.0,4.0,65.0,23.0,6975464.1,11669.0,51.0,104.0,22.0,5.0,3.0,13.5,38.5,20.0,53.0,61.0,39.0,48.0,19.0,23252.0
CRS3035RES200mN2626800E3458800,204.5,99.0,13.0,39.0,2.0,78.0,15.0,4998427.5,8568.0,12.0,87.0,0.0,13.0,6.0,9.0,16.5,13.0,42.0,50.0,20.0,17.0,18.0,24442.0
CRS3035RES200mN2626800E3459000,148.0,82.0,11.0,42.0,3.0,63.0,3.0,3248072.1,6721.0,11.0,71.0,13.0,2.0,2.0,9.0,10.0,2.0,10.0,25.0,11.0,40.0,37.0,21946.0
CRS3035RES200mN2626800E3459200,211.5,82.0,16.0,24.0,6.0,20.0,20.0,4063938.3,6591.0,23.0,59.0,61.0,4.0,3.0,7.0,34.5,31.0,20.0,52.0,30.0,22.0,8.0,19215.0
CRS3035RES200mN2626800E3459400,105.5,46.0,0.0,17.0,3.0,39.0,6.0,2628660.7,4051.0,0.0,46.0,2.0,4.0,2.0,3.0,9.5,14.0,23.0,23.0,9.0,6.0,12.0,24916.0
CRS3035RES200mN2626800E3459600,234.5,105.0,36.0,46.0,9.0,0.0,24.0,3749570.6,8449.0,95.0,10.0,105.0,13.0,8.0,20.0,31.0,18.5,33.0,45.0,24.0,33.0,9.0,15990.0
CRS3035RES200mN2626800E3459800,190.5,84.0,16.0,31.0,7.0,29.0,15.0,3746885.7,6824.0,46.0,38.0,51.0,4.0,5.0,10.5,22.0,11.0,33.0,37.0,19.0,32.0,17.0,19669.0
CRS3035RES200mN2626800E3460000,321.0,113.0,30.0,32.0,20.0,56.0,19.0,5991784.1,9613.0,50.0,63.0,46.0,22.5,15.0,28.0,40.0,33.5,54.0,56.0,25.0,26.0,21.0,18666.0
CRS3035RES200mN2626800E3460200,165.5,84.0,17.0,34.0,3.0,34.0,18.0,3377931.6,6593.0,45.0,39.0,46.0,9.0,3.0,6.0,7.5,11.0,28.0,40.0,21.0,18.0,22.0,20410.0
CRS3035RES200mN2626800E3460400,357.0,134.0,30.0,35.0,20.0,43.0,30.0,6610565.4,11194.0,74.0,60.0,55.0,20.0,4.0,28.5,51.5,33.0,63.0,85.0,30.0,30.0,12.0,18517.0
CRS3035RES200mN2626800E3460600,137.0,59.0,7.0,20.0,4.0,54.0,5.0,3163211.4,4899.0,1.0,58.0,0.0,6.0,0.0,7.0,16.0,11.0,16.0,29.0,12.0,16.0,24.0,23089.0
CRS3035RES200mN2626800E3460800,300.5,178.0,25.0,101.0,7.0,8.0,24.0,6125658.8,11381.0,117.0,61.0,120.0,6.0,4.0,11.0,19.0,20.5,37.0,59.0,39.0,52.0,53.0,20385.0
CRS3035RES200mN2626800E3461000,20.0,10.7,2.0,4.7,0.7,6.7,0.7,402994.7,1068.0,3.3,7.4,0.0,0.7,0.0,1.3,0.7,1.3,1.3,2.0,2.0,9.3,1.4,20150.0
CRS3035RES200mN2626800E3461200,10.0,5.3,1.0,2.3,0.3,3.3,0.3,201497.4,534.0,1.6,3.7,0.0,0.3,0.0,0.7,0.3,0.7,0.7,1.0,1.0,4.6,0.7,20150.0
CRS3035RES200mN2626800E3461400,104.0,66.0,4.0,40.0,1.0,26.0,1.0,2813468.4,3957.0,59.0,7.0,0.0,2.0,1.0,2.0,3.0,10.0,24.0,26.0,12.0,18.0,6.0,27053.0
CRS3035RES200mN2626800E3461600,122.0,47.0,6.0,12.0,5.0,37.0,7.0,3309538.5,4541.0,3.0,44.0,0.0,6.0,1.0,7.0,13.0,14.0,18.0,25.0,13.0,10.0,15.0,27127.0
CRS3035RES200mN2626800E3461800,147.5,69.0,9.0,26.0,3.0,50.0,7.0,4181685.5,6625.0,12.0,57.0,5.0,4.5,3.5,6.5,10.0,11.0,23.0,29.0,26.0,19.0,15.0,28350.0
CRS3035RES200mN2626800E3462000,142.5,80.0,9.0,39.0,2.0,57.0,6.0,4272177.3,7649.0,31.0,49.0,0.0,0.0,1.0,0.0,9.5,15.0,10.0,28.0,28.0,38.0,13.0,29980.0
CRS3035RES200mN2626800E3462200,177.0,77.0,2.0,18.0,4.0,71.0,9.0,5496360.1,8286.0,0.0,77.0,0.0,1.0,2.0,10.0,18.0,12.0,14.0,36.0,27.0,43.0,14.0,31053.0
CRS3035RES200mN2626800E3462400,216.5,90.0,4.0,28.0,6.0,71.0,8.0,6628315.8,9192.0,3.0,87.0,0.0,7.0,4.0,11.5,24.5,17.5,29.0,44.0,25.0,38.0,16.0,30616.0
CRS3035RES200mN2626800E3462600,76.0,39.0,6.0,18.0,3.0,20.0,3.0,2242910.2,3289.0,20.0,19.0,0.0,1.0,0.0,3.5,9.5,3.0,18.0,16.0,4.0,15.0,6.0,29512.0
CRS3035RES200mN2626800E3462800,68.0,36.0,10.0,19.0,3.0,17.0,6.0,1571945.2,2705.0,0.0,36.0,19.0,1.0,0.0,4.0,6.5,8.5,5.0,12.0,10.0,13.0,8.0,23117.0
CRS3035RES200mN2626800E3463000,77.0,50.0,8.0,31.0,0.0,20.0,3.0,2279034.5,3826.0,12.0,38.0,19.0,2.0,1.0,0.5,0.5,4.0,9.0,15.0,10.0,31.0,4.0,29598.0
CRS3035RES200mN2626800E3463200,97.0,44.0,4.0,15.0,4.0,34.0,5.0,2802969.1,4454.0,7.0,37.0,0.0,6.0,2.0,3.0,8.0,8.0,18.0,17.0,7.0,16.0,12.0,28897.0
CRS3035RES200mN2626800E3463400,170.5,92.0,6.0,38.0,0.0,73.0,10.0,5368347.5,8953.0,44.0,48.0,0.0,3.5,2.0,6.5,7.5,10.0,24.0,26.0,20.0,44.0,27.0,31486.0
CRS3035RES200mN2626800E3463600,21.0,16.0,2.0,12.0,0.0,11.0,1.0,688038.9,1566.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,2.0,3.0,2.0,32764.0
CRS3035RES200mN2626800E3463800,16.0,9.1,1.1,5.1,0.0,2.9,0.6,468579.4,648.0,5.1,4.0,0.0,0.6,0.6,0.0,1.1,1.7,6.3,2.9,1.7,1.1,0.0,29286.0
CRS3035RES200mN2626800E3464000,48.0,25.0,8.0,11.0,2.0,0.0,7.0,1080517.3,1758.0,22.0,3.0,22.0,2.0,1.0,4.5,5.5,7.0,9.0,14.0,2.0,3.0,0.0,22511.0
CRS3035RES200mN2626800E3465400,3.0,1.7,0.2,0.8,0.0,0.7,0.2,73765.4,123.4,1.0,0.7,0.0,0.2,0.0,0.0,0.1,0.6,0.9,0.5,0.2,0.4,0.1,24588.0
CRS3035RES200mN2626800E3465800,50.5,29.0,3.1,14.1,0.0,12.5,3.9,1241717.9,2077.2,16.5,12.5,0.0,3.9,0.0,0.0,2.0,10.2,14.1,8.6,3.9,7.0,0.8,24588.0
CRS3035RES200mN2626800E3466400,2.0,0.8,0.0,0.1,0.0,0.7,0.2,57634.2,91.6,0.0,0.8,0.0,0.1,0.1,0.2,0.1,0.2,0.2,0.6,0.1,0.4,0.0,28817.0
CRS3035RES200mN2626800E3466600,44.0,15.0,0.0,1.0,3.0,13.0,2.0,1320115.8,1469.0,0.0,15.0,1.0,0.0,2.0,1.0,7.0,4.0,6.0,16.0,2.0,5.0,1.0,30003.0
CRS3035RES200mN2626800E3466800,24.0,9.7,0.6,1.4,0.3,8.0,2.0,691609.8,1099.2,0.0,9.7,0.0,0.9,0.9,1.8,1.4,2.3,2.8,7.1,1.4,4.8,0.6,28817.0
CRS3035RES200mN2626800E3467000,8.0,3.2,0.3,1.3,0.3,2.7,0.0,226014.2,344.0,0.0,3.2,0.0,0.3,0.0,0.8,0.5,1.1,0.8,2.4,1.6,0.5,0.0,28252.0
CRS3035RES200mN2626800E3467400,9.0,3.6,0.3,1.5,0.3,3.0,0.0,254266.0,387.0,0.0,3.6,0.0,0.3,0.0,0.9,0.6,1.2,0.9,2.7,1.8,0.6,0.0,28252.0
CRS3035RES200mN2626800E3468800,4.0,1.3,0.1,0.2,0.2,0.9,0.1,103433.5,155.4,0.0,1.3,0.0,0.3,0.0,0.5,0.3,0.3,0.8,0.7,0.7,0.2,0.2,25858.0
CRS3035RES200mN2626800E3469000,2.0,0.6,0.1,0.1,0.1,0.5,0.0,51716.8,77.7,0.0,0.6,0.0,0.2,0.0,0.2,0.2,0.2,0.4,0.3,0.3,0.1,0.1,25858.0
CRS3035RES200mN2626800E3469200,79.0,30.0,0.0,7.0,2.0,29.0,2.0,2402122.2,3493.0,0.0,30.0,0.0,3.0,4.0,2.5,4.5,11.0,14.0,20.0,9.0,6.0,5.0,30407.0
CRS3035RES200mN2626800E3469400,159.5,61.0,5.0,10.0,3.0,49.0,12.0,4540532.8,6486.0,0.0,61.0,6.0,7.5,4.0,14.5,9.5,21.0,27.0,39.0,18.0,19.0,0.0,28467.0
CRS3035RES200mN2626800E3469600,160.0,56.0,3.0,10.0,7.0,41.0,11.0,4109259.4,5783.0,0.0,56.0,10.0,5.0,6.0,11.5,31.5,12.0,21.0,49.0,14.0,7.0,3.0,25683.0
CRS3035RES200mN2626800E3469800,4.0,1.3,0.1,0.2,0.2,0.9,0.1,103433.5,155.4,0.0,1.3,0.0,0.3,0.0,0.5,0.3,0.3,0.8,0.7,0.7,0.2,0.2,25858.0
CRS3035RES200mN2626800E3470600,81.0,30.0,6.0,8.0,3.0,20.0,6.0,2048245.8,3191.0,7.0,23.0,7.0,7.0,3.5,7.5,9.0,5.0,23.0,16.0,7.0,2.0,1.0,25287.0
CRS3035RES200mN2626800E3470800,87.5,35.0,3.0,6.0,0.0,32.0,0.0,2416725.1,3814.0,0.0,35.0,0.0,0.0,2.0,2.0,11.5,6.0,10.0,23.0,16.0,15.0,2.0,27620.0
CRS3035RES200mN2626800E3471000,33.0,12.0,1.0,1.0,0.0,12.0,1.0,1019407.3,1474.0,0.0,12.0,0.0,1.0,0.0,3.0,3.0,2.0,4.0,7.0,6.0,5.0,2.0,30891.0
CRS3035RES200mN2626800E3471200,20.0,6.0,0.5,1.0,1.5,5.5,0.0,566067.1,941.5,0.0,6.0,0.0,0.5,0.0,3.0,3.5,2.0,1.0,4.5,2.5,3.0,0.0,28303.0
CRS3035RES200mN2626800E3472600,36.0,13.3,0.8,1.6,0.0,11.0,0.0,1111646.2,1625.5,0.0,13.3,0.0,2.4,0.0,0.0,3.9,3.9,7.0,11.7,2.4,3.1,1.6,30879.0
CRS3035RES200mN2626800E3472800,63.0,25.0,1.0,3.0,0.0,22.0,1.0,2013230.4,3244.0,0.0,25.0,1.0,5.0,0.0,2.0,5.0,2.0,9.0,10.0,11.0,16.0,3.0,31956.0
CRS3035RES200mN2626800E3473000,142.0,58.0,9.0,19.0,5.0,30.0,7.0,3639937.7,6017.0,18.0,40.0,19.0,11.0,6.5,11.0,13.5,8.0,32.0,29.0,12.0,18.0,1.0,25633.0
CRS3035RES200mN2626800E3473200,108.0,36.0,3.0,3.0,4.0,32.0,4.0,3020427.8,4474.0,0.0,36.0,0.0,4.0,2.0,6.0,16.5,10.5,16.0,29.0,15.0,7.0,2.0,27967.0
CRS3035RES200mN2626800E3473400,72.0,37.0,12.0,11.0,1.0,1.0,15.0,1330126.8,2508.0,0.0,37.0,36.0,1.0,0.5,6.5,5.0,10.0,16.0,25.0,4.0,4.0,0.0,18474.0
CRS3035RES200mN2626800E3473600,1.0,0.4,0.1,0.1,0.0,0.4,0.1,32346.9,52.6,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.1,0.2,0.0,32347.0
CRS3035RES200mN2626800E3476000,1.0,0.4,0.0,0.1,0.0,0.3,0.0,26909.5,44.9,0.0,0.4,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.0,26910.0
CRS3035RES200mN2626800E3476600,17.0,6.6,0.3,1.2,0.6,5.7,0.3,457460.7,762.9,0.0,6.6,0.0,0.9,0.6,0.9,0.9,2.1,2.1,4.1,1.8,3.3,0.3,26909.0
CRS3035RES200mN2626800E3476800,111.0,47.0,2.0,16.0,7.0,32.0,8.0,2914438.5,5605.0,5.0,42.0,0.0,6.0,0.0,12.5,9.5,10.0,20.0,23.0,14.0,13.0,3.0,26256.0
CRS3035RES200mN2626800E3477000,86.5,35.0,5.0,8.0,2.0,32.0,6.0,2242687.5,4212.0,0.0,35.0,0.0,1.0,4.5,7.5,5.5,7.0,17.0,18.0,9.0,11.0,6.0,25927.0
CRS3035RES200mN2626800E3477200,144.5,48.0,2.0,7.0,6.0,40.0,4.0,3814332.4,4712.0,0.0,48.0,4.0,9.0,8.5,11.0,16.0,11.0,31.0,35.0,11.0,12.0,0.0,26397.0
CRS3035RES200mN2626800E3477400,10.0,3.5,0.0,0.8,0.2,3.2,0.0,269412.5,377.0,0.0,3.5,0.0,0.2,0.6,0.5,1.9,0.6,1.4,2.9,1.1,0.6,0.2,26941.0
CRS3035RES200mN2626800E3478800,1.0,0.4,0.1,0.1,0.0,0.4,0.0,26084.2,51.6,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.2,0.2,0.0,26084.0
CRS3035RES200mN2626800E3480800,2.0,0.8,0.1,0.1,0.0,0.7,0.0,53797.8,106.2,0.0,0.8,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.4,0.3,0.5,0.1,26899.0
CRS3035RES200mN2626800E3487800,15.0,5.0,0.0,0.5,0.2,4.8,0.0,365819.8,529.5,0.0,5.0,0.0,0.7,0.2,2.2,1.6,0.4,3.8,2.8,2.5,0.5,0.3,24388.0
CRS3035RES200mN2626800E3488000,43.5,15.0,0.0,0.0,0.0,15.0,3.0,984659.0,1483.0,0.0,15.0,0.0,2.0,1.0,5.0,7.5,0.0,15.0,7.0,3.0,2.0,1.0,22636.0
CRS3035RES200mN2626800E3488200,3.0,1.1,0.1,0.2,0.1,1.0,0.0,70626.4,135.6,0.0,1.1,0.0,0.1,0.1,0.2,0.3,0.2,0.5,0.9,0.2,0.4,0.1,23542.0
CRS3035RES200mN2626800E3488600,2.0,0.7,0.1,0.1,0.1,0.6,0.0,47084.3,90.4,0.0,0.7,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.6,0.2,0.2,0.0,23542.0
CRS3035RES200mN2626800E3488800,7.0,2.5,0.2,0.4,0.3,2.2,0.1,164795.0,316.4,0.0,2.5,0.0,0.2,0.3,0.4,0.8,0.6,1.1,2.0,0.6,0.9,0.1,23542.0
CRS3035RES200mN2626800E3490200,6.0,2.3,0.5,0.6,0.3,1.7,0.2,135994.8,324.0,0.0,2.3,0.0,0.1,0.2,0.6,0.2,0.9,1.4,1.2,0.6,0.5,0.3,22666.0
CRS3035RES200mN2626800E3492600,4.0,1.6,0.2,0.3,0.1,1.2,0.2,99337.6,188.3,0.0,1.6,0.0,0.1,0.0,0.1,0.4,0.2,1.1,0.8,0.7,0.3,0.3,24834.0
CRS3035RES200mN2626800E3492800,14.0,5.8,0.6,1.2,0.3,4.0,0.6,347681.5,659.0,0.0,5.8,0.0,0.3,0.0,0.4,1.4,0.9,3.7,2.9,2.3,0.9,1.2,24834.0
CRS3035RES200mN2626800E3493000,57.5,23.0,3.0,4.0,0.0,19.0,2.0,1340470.9,3125.0,0.0,23.0,0.0,5.0,2.0,3.0,2.5,5.0,10.0,8.0,9.0,12.0,1.0,23313.0
CRS3035RES200mN2626800E3493200,37.0,15.0,2.0,3.0,1.0,15.0,3.0,899920.3,2218.0,0.0,15.0,0.0,0.0,3.0,3.0,1.0,5.0,6.0,5.0,9.0,1.0,4.0,24322.0
CRS3035RES200mN2626800E3493400,8.5,3.6,0.3,1.5,0.0,2.8,0.3,211223.3,404.4,0.0,3.6,0.0,0.0,0.6,1.0,0.9,0.8,1.5,1.9,1.0,0.3,0.5,24850.0
CRS3035RES200mN2626800E3495400,1.0,0.4,0.0,0.1,0.0,0.3,0.1,22856.6,39.9,0.0,0.4,0.0,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.1,0.1,0.0,22857.0
CRS3035RES200mN2626800E3495800,12.0,4.4,0.4,0.6,0.1,3.1,0.7,274278.9,478.3,0.2,4.2,0.5,0.9,0.6,1.0,0.9,0.5,2.6,2.2,1.8,1.3,0.2,22857.0
CRS3035RES200mN2626800E3496000,28.0,15.1,3.0,6.1,0.0,12.9,0.8,642969.2,1514.3,0.0,15.1,0.0,1.5,0.0,0.8,0.8,1.5,8.3,4.5,3.8,3.0,3.8,22963.0
CRS3035RES200mN2626800E3496200,2.0,1.1,0.2,0.4,0.0,0.9,0.1,45926.4,108.2,0.0,1.1,0.0,0.1,0.0,0.0,0.1,0.1,0.6,0.3,0.3,0.2,0.3,22963.0
CRS3035RES200mN2626800E3498000,4.0,1.6,0.1,0.2,0.1,1.6,0.1,100102.8,255.9,0.0,1.6,0.0,0.1,0.1,0.3,0.3,0.1,0.6,0.8,0.6,0.8,0.3,25026.0
CRS3035RES200mN2627000E3458200,19.0,7.4,0.9,2.0,0.9,3.1,0.6,452669.3,678.9,1.7,5.7,0.0,1.4,0.0,0.8,0.9,1.7,2.6,6.2,2.8,2.6,0.0,23825.0
CRS3035RES200mN2627000E3458400,43.0,24.0,2.0,8.0,0.0,22.0,4.0,929733.5,1877.0,5.0,19.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,10.0,15.0,6.0,21622.0
CRS3035RES200mN2627000E3458600,168.5,79.0,10.0,29.0,4.0,40.0,12.0,4245161.2,7111.0,39.0,40.0,35.0,4.0,3.0,8.0,14.5,15.0,19.0,44.0,35.0,24.0,2.0,25194.0
CRS3035RES200mN2627000E3458800,162.0,83.0,8.0,35.0,3.0,58.0,4.0,4441689.4,7046.0,13.0,70.0,0.0,3.0,4.0,6.5,7.0,15.5,32.0,29.0,27.0,33.0,5.0,27418.0
CRS3035RES200mN2627000E3459000,92.5,42.0,4.0,16.0,1.0,36.0,6.0,2287652.0,3888.0,0.0,42.0,2.0,4.0,3.0,6.5,7.0,10.0,10.0,24.0,11.0,9.0,8.0,24731.0
CRS3035RES200mN2627000E3459200,28.0,8.5,1.8,1.2,3.0,4.9,1.8,558665.3,754.2,0.0,8.5,3.7,0.6,0.0,1.8,2.4,3.7,3.1,6.7,2.4,1.2,1.8,19952.0
CRS3035RES200mN2627000E3459800,18.0,5.5,1.2,0.8,2.0,3.1,1.2,359142.0,484.8,0.0,5.5,2.3,0.4,0.0,1.2,1.6,2.3,1.9,4.3,1.6,0.8,1.2,19952.0
CRS3035RES200mN2627000E3460000,60.5,24.0,1.0,7.0,3.0,23.0,3.0,1471509.7,2023.0,0.0,24.0,0.0,4.0,2.0,7.0,4.0,5.5,9.0,10.0,3.0,11.0,5.0,24322.0
CRS3035RES200mN2627000E3460200,50.5,28.0,2.0,11.0,0.0,26.0,6.0,1311470.3,2479.0,0.0,28.0,0.0,1.0,0.0,0.0,2.5,5.0,8.0,6.0,12.0,8.0,8.0,25970.0
CRS3035RES200mN2627000E3460400,87.0,34.0,3.0,11.0,4.0,28.0,3.0,1973099.1,2883.0,0.0,34.0,1.0,1.0,1.0,7.0,13.0,9.0,8.0,24.0,7.0,5.0,12.0,22679.0
CRS3035RES200mN2627000E3460600,10.0,4.2,0.5,2.0,0.5,2.1,0.5,211821.4,369.3,0.3,3.9,0.0,0.2,0.2,1.0,1.9,0.2,1.5,1.6,1.5,1.6,0.3,21182.0
CRS3035RES200mN2627000E3460800,47.5,29.0,1.0,13.0,0.0,0.0,8.0,961381.8,1746.0,29.0,0.0,29.0,3.0,0.5,2.5,1.0,2.5,18.0,10.0,9.0,1.0,0.0,20240.0
CRS3035RES200mN2627000E3461400,24.0,13.0,0.0,6.0,0.0,13.0,1.0,811192.6,1664.0,0.0,13.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,4.0,6.0,5.0,2.0,33800.0
CRS3035RES200mN2627000E3461600,151.5,61.0,4.0,16.0,6.0,49.0,9.0,4599439.1,6876.0,0.0,61.0,0.0,2.5,1.0,8.0,18.5,11.5,16.0,32.0,19.0,27.0,16.0,30359.0
CRS3035RES200mN2627000E3461800,154.0,69.0,5.0,19.0,3.0,51.0,7.0,4899768.3,6837.0,9.0,60.0,3.0,5.0,4.0,7.0,18.0,7.0,24.0,31.0,15.0,34.0,9.0,31817.0
