IRIS,COMMUNE,population_2021,pop_0_14,pop_15_29,pop_30_44,pop_45_59,pop_60_74,pop_75p,pop_15p_active_base,pop_cs1_agriculteurs,pop_cs2_artisans_commerc_chefs_entr,pop_cs3_cadres_prof_intel_sup,pop_cs4_prof_intermediaires,pop_cs5_employes,pop_cs6_ouvriers,pop_cs7_retraites,pop_cs8_autres_sans_activite,pop_nationalite_francaise,pop_etrangers,pop_immigres,pop_menages
171940000,17194,3414.0,614.1,417.2,623.4,782.2,695.4,281.7,2788.9,10.2,96.3,284.0,471.7,411.7,284.8,921.0,309.2,3360.5,53.5,83.9,3414.0
172000101,17200,1786.2,236.0,224.3,278.3,322.6,351.2,373.8,1548.6,4.7,42.5,236.3,226.8,170.1,42.5,660.3,165.4,1758.7,27.5,55.8,1786.2
172000102,17200,2061.1,258.7,339.9,347.3,428.2,386.0,301.0,1806.8,0.0,103.9,207.8,316.4,230.1,141.6,616.9,190.1,1989.9,71.1,109.6,1952.1
172000103,17200,3539.8,485.5,402.5,512.6,654.6,856.7,627.8,3037.1,4.7,127.6,330.8,406.3,363.9,160.7,1324.6,318.4,3451.6,88.1,161.0,3418.4
172010000,17201,488.0,114.1,62.5,126.9,99.4,56.4,28.6,367.6,0.0,14.7,24.4,83.9,83.3,68.6,48.4,44.4,487.0,1.0,2.9,488.0
172030000,17203,778.0,149.5,126.6,168.5,140.5,143.0,50.0,604.5,9.6,58.0,72.6,120.8,77.2,53.0,174.8,38.5,767.3,10.7,13.6,768.0
172080000,17208,1058.0,206.9,150.1,261.1,251.5,132.3,56.0,859.5,15.8,69.9,59.2,151.9,173.8,129.5,165.4,93.8,1039.5,18.5,38.8,1058.0
172180000,17218,4500.0,631.0,627.2,625.2,911.2,992.3,713.1,3863.2,34.6,214.7,155.9,422.4,588.7,523.8,1493.0,430.0,4422.3,77.7,119.2,4315.3
172210000,17221,930.0,183.6,138.8,165.2,196.7,160.2,85.4,722.4,36.2,10.4,56.6,71.7,113.1,113.2,219.0,102.1,911.1,18.9,20.1,930.0
172220000,17222,3194.0,502.9,365.8,539.1,714.7,783.5,287.9,2695.3,36.4,203.3,219.1,411.6,397.8,237.8,877.2,312.1,3149.9,44.1,78.5,3194.0
