Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS3035RES200mN2614800E3466200,0,CRS3035RES1000mN2614000E3466000,0,CRS3035RES1000mN2614000E3466000,649588,34,5,1,11,0,855570.4,1500,1,15,0,3,7,6,0,0,0,0,2,0,1,5,6,9,6,5,0,1,16,17094
CRS3035RES200mN2614800E3468000,1,CRS3035RES1000mN2614000E3468000,0,CRS3035RES4000mN2612000E3468000,649608,2,0,0,0.6,0.2,52949.9,101.7,0,0.8,0.1,0,0.3,0.4,0,0.2,0,0,0,0.2,0.1,0.5,0.3,0.3,0.6,0,0,0.1,0.8,17413
CRS3035RES200mN2614800E3468600,1,CRS3035RES1000mN2614000E3468000,0,CRS3035RES4000mN2612000E3468000,649608,13,0,0,3.8,1.4,344174.1,661.3,0,5.2,0.9,0,1.9,2.4,0,1.4,0,0,0,1.2,0.5,3.3,1.9,2.3,3.8,0,0,0.5,5.2,17413
CRS3035RES200mN2614800E3468800,0,CRS3035RES1000mN2614000E3468000,0,CRS3035RES4000mN2612000E3468000,649609,43,1,2,12,0,1278450,1818,0,14,0,0,0,14,0,0,3,0,7,6,0,6,11,1,9,0,0,1,14,17413
CRS3035RES200mN2614800E3469800,1,CRS3035RES1000mN2614000E3469000,1,CRS3035RES4000mN2612000E3468000,272921,5,0.3,0.3,1.5,0.2,109231.4,160.8,0,1.8,0.5,0,1,0.3,0,0,0.5,0.2,0.5,0.2,0,1.3,1.3,0.2,0.6,0.2,0,0.3,1.8,17413
CRS3035RES200mN2614800E3475400,1,CRS3035RES1000mN2614000E3475000,0,CRS3035RES4000mN2612000E3472000,649641,15,2.1,0.3,4.9,0,303646.6,707.1,0.6,5.8,4.3,0.3,0.6,1.2,0,0,1.8,0,0.6,0.9,0.6,4.3,2.5,2.5,1.2,0.6,0,1.2,6.4,17447
CRS3035RES200mN2614800E3478000,1,CRS3035RES1000mN2614000E3478000,0,CRS3035RES2000mN2614000E3478000,649660,2,0.2,0,0.5,0,45092.9,71.7,0,0.8,0.1,0,0.2,0.5,0,0,0,0,0.1,0.2,0.2,0.2,0.8,0.1,0.3,0.1,0,0,0.8,17447
CRS3035RES200mN2614800E3478600,1,CRS3035RES1000mN2614000E3478000,0,CRS3035RES2000mN2614000E3478000,649660,3,0.3,0,0.7,0.1,67639.4,107.6,0,1.1,0.2,0,0.2,0.7,0,0,0.1,0,0.1,0.3,0.3,0.3,1.1,0.2,0.5,0.1,0,0.1,1.1,17447
CRS3035RES200mN2614800E3479200,1,CRS3035RES1000mN2614000E3479000,0,CRS3035RES2000mN2614000E3478000,649655,2,0.1,0,0.6,0,40231.7,85,0,0.8,0.1,0,0.3,0.4,0,0,0.1,0.1,0.2,0.1,0.2,0.4,0.3,0.4,0.1,0.1,0,0.2,0.8,17447
CRS3035RES200mN2614800E3488600,1,CRS3035RES1000mN2614000E3488000,1,CRS3035RES2000mN2614000E3488000,272960,5,0.5,0.4,1.5,0.1,87756.8,186.7,0.1,1.8,1,0.3,0.2,0.4,0,0,0.1,0.1,0.5,0.5,0.4,0.4,1.2,0.7,0.8,0.3,0,0.4,1.9,1743417340
CRS3035RES200mN2614800E3490000,1,CRS3035RES1000mN2614000E3490000,1,CRS3035RES2000mN2614000E3490000,272967,4,0.6,0.1,1,0.1,88900.1,190.5,0.4,1.3,0.9,0.1,0.4,0.3,0,0,0.1,0.1,0.3,0.4,0.4,0.9,0.8,0.4,0.5,0.1,0,0.3,1.7,17434
CRS3035RES200mN2614800E3490400,1,CRS3035RES1000mN2614000E3490000,1,CRS3035RES2000mN2614000E3490000,272967,9,1.3,0.2,2.3,0.2,200025.3,428.6,0.9,2.9,2.1,0.3,0.8,0.6,0,0,0.2,0.4,0.6,0.9,0.9,2.1,1.7,0.9,1.1,0.2,0,0.7,3.8,17434
CRS3035RES200mN2614800E3490600,1,CRS3035RES1000mN2614000E3490000,1,CRS3035RES2000mN2614000E3490000,272967,2,0.3,0.1,0.5,0.1,44450.1,95.3,0.2,0.7,0.5,0.1,0.2,0.1,0,0,0,0.1,0.1,0.2,0.2,0.5,0.4,0.2,0.2,0.1,0,0.2,0.9,17434
CRS3035RES200mN2614800E3490800,0,CRS3035RES1000mN2614000E3490000,1,CRS3035RES2000mN2614000E3490000,649686,39,4,2,12,1,862239.8,1467,0,15,0,1,0,14,0,0,3,1,2,3,2,10,6,8,3,1,0,1,15,17434
CRS3035RES200mN2614800E3491000,0,CRS3035RES1000mN2614000E3491000,0,CRS3035RES2000mN2614000E3490000,649697,88,7,5,27,2,2109166.9,3746,0,33,0,1,8,24,0,0,9,3,5,7,4,14,13,10,23,0,0,2,33,17434
CRS3035RES200mN2614800E3491200,0,CRS3035RES1000mN2614000E3491000,0,CRS3035RES2000mN2614000E3490000,649693,47,4,0,22,1,1251189.8,2432,0,24,0,8,11,5,0,0,1,0,0,1,2,1,3,10,19,10,0,3,24,17434
CRS3035RES200mN2614800E3491400,1,CRS3035RES1000mN2614000E3491000,0,CRS3035RES2000mN2614000E3490000,649687,11,1.4,0.5,3.9,0.2,276100.3,520.3,0.2,4.5,0.7,0.2,0.3,3.5,0,0,0.1,0.3,1,0.7,0.6,1.5,2.2,1.7,2.1,0.8,0,0.5,4.7,17434
CRS3035RES200mN2614800E3491600,0,CRS3035RES1000mN2614000E3491000,0,CRS3035RES2000mN2614000E3490000,649692,47,4,1,17,1,1219186.5,2196,2,18,5,5,5,5,0,0,0,0,0,4,2,7,9,8,11,6,0,0,20,17434
CRS3035RES200mN2614800E3491800,0,CRS3035RES1000mN2614000E3491000,0,CRS3035RES2000mN2614000E3490000,649699,65.5,21,2,19,7,1278932.1,3557,16,22,19,5,4,10,0,0,1,2,2,6,5.5,9,17,8,9,6,0,5,38,17434
CRS3035RES200mN2614800E3492000,0,CRS3035RES1000mN2614000E3492000,0,CRS3035RES1000mN2614000E3492000,649745,175.5,63,2,16,19,3012742.7,6812,62,42,77,4,14,9,0,10,6.5,6.5,13,11.5,18,34,36,26,19,3,2,41,104,17434
CRS3035RES200mN2614800E3492200,0,CRS3035RES1000mN2614000E3492000,0,CRS3035RES1000mN2614000E3492000,649739,89,22,1,34,4,2074293.5,4933,5,41,37,5,3,1,0,0,4,1,7,7,1,11,15,15,15,13,0,7,46,17434
CRS3035RES200mN2614800E3492400,0,CRS3035RES1000mN2614000E3492000,0,CRS3035RES1000mN2614000E3492000,649730,38,2,3,9,0,729483.7,1068,0,12,1,10,1,0,0,0,3,0,4,4,5,4,9,6,2,1,0,2,12,17434
CRS3035RES200mN2614800E3492600,0,CRS3035RES1000mN2614000E3492000,0,CRS3035RES1000mN2614000E3492000,649733,41,5,0,20,2,953121.7,2127,0,21,1,18,2,0,0,0,1,0,0,2,2,1,7,8,15,5,0,2,21,17434
CRS3035RES200mN2614800E3492800,0,CRS3035RES1000mN2614000E3492000,0,CRS3035RES1000mN2614000E3492000,649743,126,16,1,44,8,2488286.5,4871,8,51,2,55,0,2,0,8,2,3,6,7,9,11,21,10,38,19,0,7,59,17434
CRS3035RES200mN2614800E3493000,0,CRS3035RES1000mN2614000E3493000,0,CRS3035RES1000mN2614000E3493000,649724,82,13,1,35,6,1805219.8,3616,0,42,1,20,2,19,0,1,3,4,3,1,0,11,9,11,30,10,0,1,42,17434
CRS3035RES200mN2614800E3494000,1,CRS3035RES1000mN2614000E3494000,0,CRS3035RES1000mN2614000E3494000,649769,14,2.9,0,6,0,329874.2,868.9,0.3,6.6,3.4,0.6,2,0.9,0,0,0,0,0.6,2,0.6,1.1,3.2,3.4,1.4,1.7,0,0.9,6.9,17434
CRS3035RES200mN2614800E3494200,1,CRS3035RES1000mN2614000E3494000,0,CRS3035RES1000mN2614000E3494000,649769,8,1.6,0,3.4,0,188499.5,496.5,0.2,3.7,2,0.3,1.1,0.5,0,0,0,0,0.3,1.1,0.3,0.7,1.8,2,0.8,1,0,0.5,3.9,17434
CRS3035RES200mN2614800E3494400,1,CRS3035RES1000mN2614000E3494000,0,CRS3035RES1000mN2614000E3494000,649769,10,2,0,4.3,0,235624.4,620.6,0.2,4.7,2.5,0.4,1.4,0.6,0,0,0,0,0.4,1.4,0.4,0.8,2.3,2.5,1,1.2,0,0.6,4.9,17434
CRS3035RES200mN2614800E3497600,1,CRS3035RES1000mN2614000E3497000,1,CRS3035RES2000mN2614000E3496000,272987,24,3.5,0.6,8.8,0,537547.3,1247.4,0,10.5,7.6,0,0.6,2.3,0,0,1.2,0.6,0.6,1.8,2.9,2.9,8.2,2.9,2.3,0.6,0,0,10.5,17394
CRS3035RES200mN2614800E3497800,1,CRS3035RES1000mN2614000E3497000,1,CRS3035RES2000mN2614000E3496000,272987,12,1.8,0.3,4.4,0,268773.6,623.7,0,5.3,3.8,0,0.3,1.2,0,0,0.6,0.3,0.3,0.9,1.4,1.4,4.1,1.5,1.2,0.3,0,0,5.3,17394
CRS3035RES200mN2615000E3465400,0,CRS3035RES1000mN2615000E3465000,0,CRS3035RES1000mN2615000E3465000,649564,141,39,2,51,8,3620039.6,6839,22,56,67,4,0,7,0,0,2,2.5,3,10.5,14,10,27,23,35,14,0,8,78,17094
CRS3035RES200mN2615000E3465600,0,CRS3035RES1000mN2615000E3465000,0,CRS3035RES1000mN2615000E3465000,649562,150,20,2,45,9,3999370,6668,16,54,45,8,3,14,0,0,2,3,10.5,3,11.5,15,27,21,43,14,0,9,70,17094
CRS3035RES200mN2615000E3465800,0,CRS3035RES1000mN2615000E3465000,0,CRS3035RES1000mN2615000E3465000,649558,72,15,0,38,4,1908843.5,3969,0,42,8,9,18,7,0,0,1,1.5,0.5,0,0,5,2,15,37,10,0,4,42,17094
CRS3035RES200mN2615000E3466000,0,CRS3035RES1000mN2615000E3466000,0,CRS3035RES1000mN2615000E3466000,649601,88,9,2,32,4,2112973.4,4105,3,38,2,8,16,14,1,0,4,0,3,7,4,9,13,11,30,7,0,3,41,17094
CRS3035RES200mN2615000E3466200,0,CRS3035RES1000mN2615000E3466000,0,CRS3035RES1000mN2615000E3466000,649600,91,6,2,26,9,2198440.2,3986,0,40,2,1,8,29,0,9,3,1,1.5,9,9.5,9,25,11,21,1,0,4,40,17094
CRS3035RES200mN2615000E3466400,1,CRS3035RES1000mN2615000E3466000,0,CRS3035RES1000mN2615000E3466000,649595,18,1.2,0.6,4.8,0.6,460137.4,774.1,0.8,6.4,0.6,1.6,0.6,4.2,0.2,0.2,0.2,0,1,2.3,1.2,1.4,4,2,4.7,1.2,0,0.8,7.2,17094
CRS3035RES200mN2615000E3466600,1,CRS3035RES1000mN2615000E3466000,0,CRS3035RES1000mN2615000E3466000,649595,2,0.1,0.1,0.5,0.1,51126.4,86,0.1,0.7,0,0.2,0.1,0.5,0,0,0,0,0.1,0.3,0.1,0.2,0.5,0.2,0.5,0.1,0,0.1,0.8,17094
CRS3035RES200mN2615000E3468000,1,CRS3035RES1000mN2615000E3468000,0,CRS3035RES4000mN2612000E3468000,649610,4,0.5,0.1,1.7,0.2,92940.5,189.5,0,1.8,0.3,0.1,0.9,0.5,0,0,0.2,0,0.2,0.2,0.2,0.5,0.6,0.8,0.9,0.4,0,0.3,1.8,17413
CRS3035RES200mN2615000E3468200,1,CRS3035RES1000mN2615000E3468000,0,CRS3035RES4000mN2612000E3468000,649610,10.5,1.3,0.3,4.4,0.4,243968.9,497.4,0,4.8,0.9,0.3,2.3,1.3,0,0,0.6,0,0.5,0.5,0.7,1.3,1.6,2,2.4,0.9,0,0.8,4.8,17413
