COMMUNE,nom_commune,jobs_1999,jobs_2007,jobs_2008,jobs_2009,jobs_2010,jobs_2011,jobs_2012,jobs_2013,jobs_2014,jobs_2015,jobs_2016,jobs_2017,jobs_2018,jobs_2019,jobs_2020,jobs_2021,jobs_2022,change_pct_1999_2022,change_pct_2012_2022
17208,Longèves,56.0,73.6,72.4,74.2,76.9,78.9,79.8,79.1,69.3,71.5,71.2,77.9,77.7,80.7,80.5,83.1,81.3,45.2,1.9
17218,Marans,1816.0,1956.1,1952.0,1780.8,1754.7,1707.6,1712.1,1725.4,1777.4,1777.7,1803.3,1836.6,1849.8,1863.5,1799.8,1822.5,1859.4,2.4,8.6
17221,Marsais,119.0,89.1,97.4,99.8,110.2,118.6,115.1,109.1,105.2,93.1,73.9,75.3,77.2,77.2,82.0,84.8,97.2,-18.3,-15.6
17222,Marsilly,312.0,426.2,407.6,392.7,389.4,394.6,399.7,409.9,408.8,410.7,367.0,369.8,363.8,369.1,357.2,366.4,388.9,24.6,-2.7
17245,Montroy,50.0,80.5,82.2,80.4,85.6,78.5,81.8,81.4,85.6,76.4,59.5,55.6,49.1,49.6,51.5,58.7,75.0,50.0,-8.3
17264,Nieul-sur-Mer,719.0,811.7,844.3,880.5,880.9,901.4,922.6,897.0,889.0,985.4,968.6,968.6,962.7,979.8,984.6,935.9,982.5,36.6,6.5
17267,Nuaillé-d'Aunis,105.0,126.9,143.6,129.8,138.5,131.4,139.5,138.4,136.6,129.2,133.3,136.6,149.6,154.1,144.7,146.6,144.1,37.2,3.3
17274,Périgny,4021.0,6691.5,6750.7,6857.4,6977.4,7208.0,7261.5,7395.5,7281.4,7143.7,6901.9,6998.8,7207.6,7305.6,7613.3,7988.9,8477.2,110.8,16.7
17291,Puilboreau,2311.0,3277.5,3339.2,3431.1,3543.8,3610.4,3611.2,3576.0,3578.5,3549.4,3531.2,3473.4,3538.7,3595.1,3718.3,3915.8,4016.5,73.8,11.2
17293,Puyravault,40.0,57.6,59.1,58.5,59.1,58.0,67.1,69.2,73.4,72.8,76.4,68.2,69.1,69.9,66.3,66.7,64.9,62.3,-3.3
17300,La Rochelle,40363.0,45141.9,45097.1,45096.3,45034.6,44413.0,43989.1,43988.3,43951.9,44032.4,44969.1,45496.8,46555.5,47153.6,48315.0,49356.3,50380.0,24.8,14.5
17303,La Ronde,132.0,123.9,122.9,129.2,131.5,127.4,129.4,126.6,123.3,127.0,133.3,131.2,122.2,121.7,122.2,117.1,118.4,-10.3,-8.5
17315,Saint-Christophe,77.0,137.6,165.3,167.2,180.1,192.0,185.2,181.5,187.6,178.8,162.7,175.0,171.8,173.5,183.8,193.4,218.7,184.0,18.1
17321,Saint-Crépin,51.0,62.6,59.4,48.9,46.6,47.0,45.6,45.5,46.4,45.1,45.0,44.2,45.7,46.3,31.2,32.3,33.2,-34.9,-27.2
17322,Saint-Cyr-du-Doret,96.0,111.9,105.2,114.5,112.4,114.2,114.9,121.5,125.2,127.0,128.3,136.0,135.2,137.0,126.8,110.5,97.4,1.5,-15.2
