name,address,postal_code,COMMUNE,nom_commune,domain_code,domain,subdomain_code,subdomain,type_code,type,geoloc_quality_code,longitude,latitude
ECOLE PRIMAIRE PUBLIQUE JACQUES PREVERT,3 PL DE LA LIBERTE,85770,85111,L'ÎLE-D'ELLE,C,Enseignement,C1,Enseignement du premier degré,C108,ÉCOLE PRIMAIRE,11,-0.94804,46.32932
COLLEGE GOLFE DES PICTONS,21 RUE DU MOULIN ROUGE,85770,85111,L'ÎLE-D'ELLE,C,Enseignement,C2,Enseignement du second degré - premier cycle,C201,COLLÈGE,11,-0.95058,46.32875
"GWENAELLE SPARTOLI, PSYCHOLOGUE",11 B RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D250,PSYCHOLOGUE,11,-0.94872,46.33133
"AMANDINE HOTIER, PSYCHOLOGUE",13 RUE DU STADE,85770,85111,L'ÎLE-D'ELLE,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D250,PSYCHOLOGUE,11,-0.9448,46.32737
"CELINE BARBOTIN, INFIRMIER",11 B RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D281,INFIRMIER,11,-0.94872,46.33133
"MARIANNE MASSE, INFIRMIER",11 B RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D281,INFIRMIER,11,-0.94872,46.33133
"MARIE CONANT, ORTHOPHONISTE",11 B RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D282,ORTHOPHONISTE,11,-0.94872,46.33133
PHARMACIE JAULIN,13 RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,D,Sante,D3,Autres établissements et services à caractère sanitaire,D307,PHARMACIE,11,-0.94909,46.33172
ALSH L'ILE D'ELLE,RUE DU MOULIN ROUGE,85770,85111,L'ÎLE-D'ELLE,D,Sante,D5,Action sociale pour enfants en bas-âge,D505,ACCUEIL DE LOISIR SANS HÉBERGEMENT,12,-0.94746,46.32946
MERCREDIS ILE DELLE,RUE DU MOULIN ROUGE,85770,85111,L'ÎLE-D'ELLE,D,Sante,D5,Action sociale pour enfants en bas-âge,D505,ACCUEIL DE LOISIR SANS HÉBERGEMENT,12,-0.94882,46.33032
GUILLON SOPHIE,1 RUE DE L EGLISE,85770,85111,L'ÎLE-D'ELLE,E,Transports et deplacements,E1,Infrastructures de transports,E101,TAXI-VTC,11,-0.94675,46.33007
COMPLEXE SPORTIF,RUE DU STADE,85770,85111,L'ÎLE-D'ELLE,F,"Sports, loisirs et culture",F1,Equipements sportifs,F103,TENNIS,_Z,-0.94478,46.32666
COLLEGE GOLFE DES PICTONS,21 RUE DU MOULIN ROUGE,85770,85111,L'ÎLE-D'ELLE,F,"Sports, loisirs et culture",F1,Equipements sportifs,F111,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS,_Z,-0.94968,46.32923
COMPLEXE SPORTIF,RUE DU STADE,85770,85111,L'ÎLE-D'ELLE,F,"Sports, loisirs et culture",F1,Equipements sportifs,F113,TERRAINS DE GRANDS JEUX,_Z,-0.94365,46.32699
COMPLEXE DES LUCIOLES,3 RUE DU MOULIN ROUGE,85770,85111,L'ÎLE-D'ELLE,F,"Sports, loisirs et culture",F1,Equipements sportifs,F121,"SALLES MULTISPORTS, GYMNASES",_Z,-0.94772,46.32964
COLLEGE GOLFE DES PICTONS,21 RUE DU MOULIN ROUGE,85770,85111,L'ÎLE-D'ELLE,F,"Sports, loisirs et culture",F1,Equipements sportifs,F121,"SALLES MULTISPORTS, GYMNASES",_Z,-0.94994,46.3292
COMPLEXE SPORTIF,RUE DU STADE,85770,85111,L'ÎLE-D'ELLE,F,"Sports, loisirs et culture",F1,Equipements sportifs,F128,ÉQUIPEMENTS DE CYCLISME,_Z,-0.94447,46.32621
PLACE DE LA LIBERTE,PL DE LA LIBERTE,85770,85111,L'ÎLE-D'ELLE,F,"Sports, loisirs et culture",F2,Equipements de loisirs,F203,BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION,_Z,-0.94704,46.32981
MÉDIATHÈQUE DE L'ÎLE-D'ELLE,7 RUE DE L EGLISE,85770,85111,L'ÎLE-D'ELLE,F,"Sports, loisirs et culture",F3,Equipements culturels et socioculturels,F307,BIBLIOTHÈQUE,11,-0.9457,46.33016
CAMPING LE PETIT BOOTH,79 B RUE NATIONALE,85770,85111,L'ÎLE-D'ELLE,G,Tourisme,G1,Tourisme,G103,CAMPING,11,-0.94386,46.33517
MAILLÉ,3 RUE DE LA MAIRIE,85420,85132,MAILLÉ,A,Services aux particuliers,A1,Services publics,A129,MAIRIE,11,-0.79074,46.34192
MAILLE AP,3 RUE DE LA MAIRIE,85420,85132,MAILLÉ,A,Services aux particuliers,A2,Services généraux,A208,AGENCE POSTALE,11,-0.79074,46.34192
DESIGN COLOR,18 RUE DE LA FRAIGNAIE,85420,85132,MAILLÉ,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-0.77855,46.33897
GELOT MACONNERIE,24 RUE DE LA FRAIGNAIE,85420,85132,MAILLÉ,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.77767,46.33828
GANDOUIN MACONNERIE,15 RUE SAINT PIENT,85420,85132,MAILLÉ,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.78473,46.34255
LEBLANC PHILIPPE,37 GR GRANDE RUE,85420,85132,MAILLÉ,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.79192,46.34101
CHATAGNER STEPHANE,22 LA FRAIGNAIE,85420,85132,MAILLÉ,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-0.77783,46.33868
MAZUEL NICOLAS,41 RUE DES LOGES,85420,85132,MAILLÉ,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-0.7836,46.34114
RAFFENEAU BENJAMIN,28 RUE DES LOGES,85420,85132,MAILLÉ,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-0.7871,46.34062
RAUD LORENZO,10 RUE DES VIGNES,85420,85132,MAILLÉ,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-0.77875,46.34016
C&VOUS,7 A RUE DE LA POSTE,85420,85132,MAILLÉ,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,11,-0.78785,46.34242
GAUDIN ERIC,7 PL DU PORT,85420,85132,MAILLÉ,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-0.79314,46.34073
BAUDIN LAURENT,3 CHE DE BAZOIN,85420,85132,MAILLÉ,A,Services aux particuliers,A5,Autres services,A505,AGENCE IMMOBILIÈRE,11,-0.7798,46.31873
RENOUX MAUDE,11 RUE DE LA POSTE,85420,85132,MAILLÉ,A,Services aux particuliers,A5,Autres services,A507,INSTITUT DE BEAUTÉ-ONGLERIE,11,-0.78755,46.34253
MAISON COIRIER,7 B RUE DE LA POSTE,85420,85132,MAILLÉ,B,Commerces,B2,Commerces alimentaires,B207,BOULANGERIE-PÂTISSERIE,11,-0.78785,46.34242
