name,address,postal_code,COMMUNE,nom_commune,domain_code,domain,subdomain_code,subdomain,type_code,type,geoloc_quality_code,longitude,latitude
SAHNOUR MOHAMED-AMINE,27 RUE DES BOULINES,17540,17009,ANGLIERS,B,Commerces,B2,Commerces alimentaires,B207,BOULANGERIE-PÂTISSERIE,11,-0.95448,46.21611
STATION SERVICE,1 RTE DE LA MER,17540,17009,ANGLIERS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B316,STATION-SERVICE,11,-0.95412,46.21308
ECOLE PRIMAIRE PUBLIQUE LA FARANDOLE,RUE JULES FERRY,17540,17009,ANGLIERS,C,Enseignement,C1,Enseignement du premier degré,C108,ÉCOLE PRIMAIRE,11,-0.95278,46.20904
"JULIE DE DECKER, MÉDECIN",2 RUE DE L ECOLE,17540,17009,ANGLIERS,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D265,MÉDECIN GÉNÉRALISTE,11,-0.95232,46.21036
"MANON ASQUIER, MÉDECIN",2 RUE DE L ECOLE,17540,17009,ANGLIERS,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D265,MÉDECIN GÉNÉRALISTE,11,-0.95232,46.21036
"SIMON CHARVET, MÉDECIN",2 RUE DE L ECOLE,17540,17009,ANGLIERS,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D265,MÉDECIN GÉNÉRALISTE,11,-0.95232,46.21036
"ALINE RODDE, MASSEUR-KINÉSITHÉRAPEUTE",PL SAINT PIERRE,17540,17009,ANGLIERS,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D279,MASSEUR KINÉSITHÉRAPEUTE,12,-0.95179,46.2094
"CELINE MULOT, MASSEUR-KINÉSITHÉRAPEUTE",PL SAINT PIERRE,17540,17009,ANGLIERS,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D279,MASSEUR KINÉSITHÉRAPEUTE,12,-0.95186,46.2103
"SAMANTHA CROSES, INFIRMIER",2 T RUE DU PONANT,17540,17009,ANGLIERS,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D281,INFIRMIER,11,-0.95479,46.21388
"VIRGINIE NICOLLAS, INFIRMIER",2 T RUE DU PONANT,17540,17009,ANGLIERS,D,Sante,D2,Fonctions médicales et paramédicales (à titre libéral),D281,INFIRMIER,11,-0.95479,46.21388
EXTRA COMMUNE ANGLIERS,PL SAINT PIERRE,17540,17009,ANGLIERS,D,Sante,D5,Action sociale pour enfants en bas-âge,D505,ACCUEIL DE LOISIR SANS HÉBERGEMENT,12,-0.95186,46.2103
PERI COMMUNE ANGLIERS,PL SAINT PIERRE,17540,17009,ANGLIERS,D,Sante,D5,Action sociale pour enfants en bas-âge,D505,ACCUEIL DE LOISIR SANS HÉBERGEMENT,12,-0.95186,46.2103
COUSIN DAMIEN,5 RUE DES FRENES,17540,17009,ANGLIERS,E,Transports et deplacements,E1,Infrastructures de transports,E101,TAXI-VTC,11,-0.95035,46.20966
COURT DE TENNIS,PL SAINT PIERRE,17540,17009,ANGLIERS,F,"Sports, loisirs et culture",F1,Equipements sportifs,F103,TENNIS,_Z,-0.95174,46.20964
SALLE POLYVALENTE,PL SAINT PIERRE,17540,17009,ANGLIERS,F,"Sports, loisirs et culture",F1,Equipements sportifs,F121,"SALLES MULTISPORTS, GYMNASES",_Z,-0.95203,46.2101
MÉDIATHÈQUE ARC-EN-CIEL,RUE JULES FERRY,17540,17009,ANGLIERS,F,"Sports, loisirs et culture",F3,Equipements culturels et socioculturels,F307,BIBLIOTHÈQUE,11,-0.95307,46.20889
COMMUNAUTÉ DE BRIGADES D'ANGOULINS,103 RUE DU MOULIN DE LA PIERRE,17690,17010,ANGOULINS,A,Services aux particuliers,A1,Services publics,A104,GENDARMERIE,11,-1.09953,46.10163
ANGOULINS,AV COMMANDANT LISIACK,17690,17010,ANGOULINS,A,Services aux particuliers,A1,Services publics,A129,MAIRIE,12,-1.11017,46.10459
CAISSE FEDERALE DU CREDIT MUTUEL OCEAN,32 AV DES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A2,Services généraux,A203,"BANQUE, CAISSE D’ÉPARGNE",11,-1.101,46.10887
CAISSE REG CREDIT AGRICOLE MUTUEL 17-79,2 RUE FRANCOIS PERSONNAT,17690,17010,ANGOULINS,A,Services aux particuliers,A2,Services généraux,A203,"BANQUE, CAISSE D’ÉPARGNE",11,-1.1087,46.10519
FUNECAP OUEST,LES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A2,Services généraux,A205,SERVICES FUNÉRAIRES,12,-1.10261,46.10757
ANGOULINS BP,19 AV EDMOND GRASSET,17690,17010,ANGOULINS,A,Services aux particuliers,A2,Services généraux,A206,BUREAU DE POSTE,11,-1.10863,46.10603
SPEEDY FRANCE SAS,LD LES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-1.10168,46.10817
ANGOULINS AUTO,ZAC DES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,22,-1.09717,46.10416
LAVAGE ANGOULIINS,10 AV DES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-1.09867,46.10605
GOMEZ-VIDAL THIERRY,117 AV DU GENERAL DE GAULLE,17690,17010,ANGOULINS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-1.09962,46.09507
CARGLASS S.A.S,ZAC LES FOURNEAUX LA ROCHELLE SU,17690,17010,ANGOULINS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,33,-1.1171,46.11065
ACO SECURITE,ZA LES ORMEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A3,Services automobiles,A302,CONTRÔLE TECHNIQUE AUTOMOBILE,11,-1.09696,46.10309
GUERINET OUEST OCEAN LOCATION,RTE DE ROCHEFORT,17690,17010,ANGOULINS,A,Services aux particuliers,A3,Services automobiles,A303,LOCATION AUTO-UTILITAIRES LÉGERS,11,-1.10281,46.11027
SC CONDUITE,8 AV EDMOND GRASSET,17690,17010,ANGOULINS,A,Services aux particuliers,A3,Services automobiles,A304,ÉCOLE DE CONDUITE,11,-1.10865,46.10505
MARY JEROME,20 AV DU COMMANDANT LISIACK,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-1.11322,46.10739
ACUN FEYZULLAH,80 AV EDMOND GRASSET,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-1.10154,46.1089
ANTUNES PLATRERIE,1 IMP DU ROND POINT,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-1.09878,46.10287
PILON FRANCOIS XAVIER,21 RUE DES COQUILLES,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-1.11288,46.10309
MAIXANDEAU BENJAMIN,12 CHE DE TOUCHARE,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-1.10875,46.1077
PROT D'PEINTURES,74 RUE DU CHAY,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-1.12274,46.10369
BEN AICHA HACHEM,3 B RUE FRANCOIS PERSONNAT,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-1.10861,46.10531
LENEVEU GUERIN,11 RUE ANDRE DULIN,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-1.10491,46.10291
LAURENT ANDRON MENUISERIE,11 B RUE DE BEL AIR,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-1.11009,46.10185
POSE CBRP,27 RUE DES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,21,-1.10067,46.10734
PPMC,38 CHE DE TOUCHARE,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-1.11146,46.11057
BATI GOUTTIERE,8 RUE DE LA CHAPELLE,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-1.10572,46.1071
GRANDJACQUET,72 RUE DU CHAY,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-1.12251,46.10369
EURL LVP,25 T AV DU GENERAL DE GAULLE,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-1.10674,46.10056
BONHOMME,22 ALL ADELE,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-1.10133,46.10457
OUEST COAST RENO,3 B IMP DU COMMANDANT LISIACK,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-1.11391,46.10626
SUNSYSTEM 33,20 RUE DU MOULIN DE LA PIERRE,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-1.10575,46.10089
COMPTOIR DES ECONOMIES D'ENERGIES,RTE DE ROCHEFORT,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-1.10281,46.11027
SARL MOURGUET,74 AV EDMOND GRASSET,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A405,ÉLECTRICIEN,11,-1.10208,46.10869
AVENIR ELEC 17,23 RUE NORBERT CASTERET,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A405,ÉLECTRICIEN,11,-1.11293,46.11022
GOUERI SEBASTIEN,5 RUE DES COQUILLAGES,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A405,ÉLECTRICIEN,11,-1.11146,46.10346
PUIG DENIS,82 RUE DU CHAY,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A405,ÉLECTRICIEN,11,-1.12368,46.10369
RICHARD ALAIN,107 AV DU GENERAL DE GAULLE,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A405,ÉLECTRICIEN,11,-1.10076,46.0955
PEREIRA-CHAILLOUX,30 RUE DE BEL AIR,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A405,ÉLECTRICIEN,11,-1.10881,46.10111
SARL CARNOT,AV DES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A406,ENTREPRISE GÉNÉRALE DU BÂTIMENT,12,-1.09724,46.10506
BAJUCEPA,13 B RUE DES CHAMPS,17690,17010,ANGOULINS,A,Services aux particuliers,A4,Artisanat du bâtiment,A406,ENTREPRISE GÉNÉRALE DU BÂTIMENT,11,-1.10487,46.10077
HAIR INTER,CTRE COMMERCIAL CARREFOU,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,11,-1.1043,46.11081
S&J COIFFURE,33 AV DES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,11,-1.10075,46.10839
MLLE COIFFURE,RTE DE ROCHEFORT,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,11,-1.10281,46.11027
BONNAUD MARIE CLAUDE,24 RUE DES SALINES,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,11,-1.11251,46.10549
LA BARBE DE PAPA SUD,8 RUE DE ROCHEFORT,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,21,-1.10281,46.11027
MASQUELIER SABINE,3 RUE THIERS,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,11,-1.10913,46.10432
SO COIFFURE,1 PL DES GOLENES,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,11,-1.10872,46.10472
BONNAUD LENA,34 CHE DES RUSSONS,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,11,-1.10687,46.11114
CHERNYSHOVA OLENA,31 RUE DES TAMARIS,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A501,COIFFURE,11,-1.10744,46.10961
VIDAL PATRICIA,4 AV EDMOND GRASSET,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A502,VÉTÉRINAIRE,11,-1.10872,46.10472
SAS FAMILY BUSINESS,8 AV EDMOND GRASSET,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.10865,46.10505
LAUMAG,RTE DE ROCHEFORT,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.10281,46.11027
COFFEE ANGOULINS,CTRE COMMERCIAL CARREFOUR,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.1043,46.11081
YUN LAI,ZAC DES ORMEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,22,-1.09554,46.09971
SARL PDM ANGOULINS,30 AV DES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.10004,46.10861
CHALEUR BONHEUR,11 AV DES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.09895,46.10624
ANH MINH SUSHI,RUE DE ROCHEFORT,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,21,-1.10281,46.11027
POM'DENTELLE,8 AV EDMOND GRASSET,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.10865,46.10505
LA K'FETE CONCEPT,4 LES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.10557,46.10507
CELESTO,RUE DU CHAY LA PLATERE,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,12,-1.12561,46.10313
LES VIVIERS RESTAURANT,RUE DU CHAY,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.13138,46.10361
ANGOUKING,3 RTE DE ROCHEFORT,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.10275,46.11045
TERZO,RTE DE ROCHEFORT,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,11,-1.10281,46.11027
BGLR,LES CADELIS EST,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A504,RESTAURANT- RESTAURATION RAPIDE,12,-1.09064,46.10349
I M A P,2 AV DU COMMANDANT LISIACK,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A505,AGENCE IMMOBILIÈRE,11,-1.11002,46.10503
MARDI LYDIE,15 RUE NORBERT CASTERET,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A505,AGENCE IMMOBILIÈRE,11,-1.11299,46.10958
ARCANEA,AV DES FOURNEAUX,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A505,AGENCE IMMOBILIÈRE,11,-1.09729,46.10427
COURTOIS FABIEN,27 RUE NORBERT CASTERET,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A505,AGENCE IMMOBILIÈRE,11,-1.11287,46.11051
GAULUPEAU MICKAEL,3 RTE DE LA MALADRERIE,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A505,AGENCE IMMOBILIÈRE,11,-1.09462,46.09999
MOLIC YOANN,1 B RUE NORBERT CASTERET,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A505,AGENCE IMMOBILIÈRE,11,-1.11286,46.10845
CAHUZAC PHILIPPE,17 RTE DE LA DOUANE,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A505,AGENCE IMMOBILIÈRE,11,-1.11765,46.1042
HERNANDEZ MATHIEU,56 CHE DE TOUCHARE,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A505,AGENCE IMMOBILIÈRE,11,-1.11494,46.11185
EURO PRESS,CTRE COMMERCIAL DE CARRE,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A506,PRESSING-LAVERIE AUTOMATIQUE,33,-1.10234,46.10397
POUVREAU NADINE,8 RUE PIERRE SEMARD,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A507,INSTITUT DE BEAUTÉ-ONGLERIE,11,-1.10232,46.1077
SPA SABRINA BEAUTE,3 RUE FELIX FAURE,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A507,INSTITUT DE BEAUTÉ-ONGLERIE,11,-1.10872,46.10472
LVDA,RTE DE ROCHEFORT,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A507,INSTITUT DE BEAUTÉ-ONGLERIE,11,-1.10281,46.11027
NOEL MATTIS,70 AV EDMOND GRASSET,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A507,INSTITUT DE BEAUTÉ-ONGLERIE,11,-1.10242,46.10856
CHAIGNE RUDEAU AURORE,22 RUE DES TAMARIS,17690,17010,ANGOULINS,A,Services aux particuliers,A5,Autres services,A507,INSTITUT DE BEAUTÉ-ONGLERIE,11,-1.10838,46.11029
POELE CHARENTE MARITIME,27 AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B1,Grandes surfaces,B103,GRANDE SURFACE DE BRICOLAGE,11,-1.10067,46.10734
OUTILLAGE DE ST ETIENNE,LES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B1,Grandes surfaces,B103,GRANDE SURFACE DE BRICOLAGE,12,-1.0986,46.10591
CARREFOUR HYPERMARCHES,RTE DE ROCHEFORT,17690,17010,ANGOULINS,B,Commerces,B1,Grandes surfaces,B104,HYPERMARCHÉ ET GRAND MAGASIN,11,-1.10281,46.11027
LIDL,AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B1,Grandes surfaces,B105,SUPERMARCHÉ ET MAGASIN MULTI-COMMERCE,12,-1.0986,46.10591
ACTION FRANCE,RUE DU MOULIN DE LA PIERRE,17690,17010,ANGOULINS,B,Commerces,B1,Grandes surfaces,B105,SUPERMARCHÉ ET MAGASIN MULTI-COMMERCE,12,-1.10602,46.10113
ALDI BOUFFERE,AV DES ORMEAUX,17690,17010,ANGOULINS,B,Commerces,B1,Grandes surfaces,B105,SUPERMARCHÉ ET MAGASIN MULTI-COMMERCE,12,-1.0971,46.10326
REGAIN,AV ALBERT DENIS,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B201,SUPÉRETTE,12,-1.10118,46.10582
L'HEURE DU MARCHE D'ANGOULINS,30 AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B202,ÉPICERIE,11,-1.10004,46.10861
BIOVIE,17 AV ALBERT DENIS,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B202,ÉPICERIE,11,-1.10065,46.10621
MOINIER-CAILLON,PL DE LA REPUBLIQUE,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B204,BOUCHERIE CHARCUTERIE,11,-1.11017,46.10459
CLOMALO,PL DE LA REPUBLIQUE,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B204,BOUCHERIE CHARCUTERIE,11,-1.11017,46.10459
DASC,ZAC DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B204,BOUCHERIE CHARCUTERIE,11,-1.10087,46.10563
PICARD SURGELES,ZAC DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B205,PRODUITS SURGELÉS,11,-1.10103,46.10822
DELPECH FLORENT,MARAIS DU CHAY,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B206,POISSONNERIE,12,-1.1299,46.10838
LES VIVIERS RETAIL,30 AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B206,POISSONNERIE,11,-1.10004,46.10861
CRESCENDO,11 RUE DU CHAY,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B207,BOULANGERIE-PÂTISSERIE,11,-1.11489,46.10311
CMP,AV ALBERT DENIS,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B207,BOULANGERIE-PÂTISSERIE,11,-1.10089,46.10784
VDV LR,11 RUE ALBERT DENIS,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B207,BOULANGERIE-PÂTISSERIE,11,-1.10031,46.10524
GOURMAND SABLE,2 AV EDMOND GRASSET,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B207,BOULANGERIE-PÂTISSERIE,11,-1.10948,46.10441
BARBARA SANDRA,15 T RUE DES COQUILLES,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B207,BOULANGERIE-PÂTISSERIE,11,-1.11204,46.10352
LES FEES DU PAIN,RTE DE ROCHEFORT,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B207,BOULANGERIE-PÂTISSERIE,11,-1.10281,46.11027
ANGOULINS PRIMEURS,30 AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B208,COMMERCE SPÉCIALISÉ EN FRUITS ET LÉGUMES,11,-1.10004,46.10861
100%FERMIERS,22 AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B210,AUTRES COMMERCES ALIMENTAIRES,11,-1.09902,46.10719
LPV,RTE DE ROCHEFORT,17690,17010,ANGOULINS,B,Commerces,B2,Commerces alimentaires,B210,AUTRES COMMERCES ALIMENTAIRES,11,-1.10281,46.11027
STOCK J BOUTIQUE JENNYFER,RTE DE ROCHEFORT,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,11,-1.10281,46.11027
ISA CONSULTING,LD LES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,11,-1.10168,46.10817
CITY MISS,LES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,11,-1.0985,46.10652
CARACO,39 AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,11,-1.10138,46.10922
MSFR,RTE DE ROCHEFORT,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,11,-1.10281,46.11027
PIGEON & GOLDY,2 RUE GATE BOURSE,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,11,-1.10736,46.10609
VET 17,2 B AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,11,-1.0972,46.10413
BARREL AND PANEL,34 B RUE GAMBETTA,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,11,-1.11035,46.10255
MANON DES VILLES,RTE DE ROCHEFORT,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,11,-1.10281,46.11027
ISANDREA,LES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B302,MAGASIN DE VÊTEMENTS,12,-1.10139,46.10852
CHARENTE LUMINAIRES,LES ORMEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B303,MAGASIN D’ÉQUIPEMENTS DU FOYER,11,-1.09687,46.10273
CD 2,LES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B303,MAGASIN D’ÉQUIPEMENTS DU FOYER,12,-1.0986,46.10591
MAISONS DU MONDE FRANCE,20 AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B303,MAGASIN D’ÉQUIPEMENTS DU FOYER,11,-1.09954,46.10709
MUSIC CITY,ZONE DES CADELIS E,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B303,MAGASIN D’ÉQUIPEMENTS DU FOYER,33,-1.1039,46.10752
METASTYL,24 AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B304,MAGASIN DE CHAUSSURES,11,-1.09997,46.10761
CHAUSSEA SAS,AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B304,MAGASIN DE CHAUSSURES,11,-1.10039,46.10491
MAPICHA DISTRIBUTION,AV ALBERT DENIS,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B306,MAGASIN DE MEUBLES,11,-1.10039,46.10762
DND,ZAC DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B306,MAGASIN DE MEUBLES,11,-1.09916,46.10587
JPS MEUBLES DECO,ZAC LES ORMEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B306,MAGASIN DE MEUBLES,22,-1.0971,46.10326
ARATI,21 AV DES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B306,MAGASIN DE MEUBLES,11,-1.09967,46.10708
JBL 7,ZA LES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B306,MAGASIN DE MEUBLES,22,-1.1039,46.10752
FGH DISTRIBUTION,4 LES FOURNEAUX,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B306,MAGASIN DE MEUBLES,11,-1.10557,46.10507
ERUPIX,RUE DU MOULIN DE LA PIERRE,17690,17010,ANGOULINS,B,Commerces,B3,Commerces spécialisés non-alimentaires,B306,MAGASIN DE MEUBLES,12,-1.09956,46.10137
