idINS,distance,tt_bike,tt_car,tt_walk,tt_transit,part_transit,walktime
CRS3035RES200mN2612400E3466800,30123.62194870391,176.9094547204843,52.037750120332866,256.3779825345529,80.6292480115691,0.5325448669462982,27.662132011155915
CRS3035RES200mN2612400E3467800,29825.658933243878,184.91013753773902,45.01657162026166,261.16951358604496,74.75290452723233,0.5255015095605502,23.78075990092692
CRS3035RES200mN2615200E3503000,37862.316643369166,249.00220087440178,70.18810040745909,351.51460309906855,16.921052631578945,5.650893733456264e-4,16.921052631578945
CRS3035RES200mN2615200E3503600,38358.93467497205,251.3081122678631,70.9637292909933,354.84222677179076,4.111111111111111,3.9203728710197325e-4,4.111111111111111
CRS3035RES200mN2618200E3480000,30156.207369412725,208.42298230922134,57.099131162985444,292.8384277190409,27,1.5701873756934968e-4,27
CRS3035RES200mN2618200E3482800,33871.43026402146,230.53207290815075,63.013126230584014,324.2864972538542,NA,NA,NA
CRS3035RES200mN2618200E3484200,34344.04071807781,235.14406550886324,62.51283406820824,331.0172433186351,NA,NA,NA
CRS3035RES200mN2624000E3465200,26130.832153771917,149.25359230068094,41.93679963540829,216.78538684252854,43.79808873384759,0.545627580290601,17.833130251068617
CRS3035RES200mN2624000E3466000,25749.817308882804,146.36047103492868,43.86379331691681,212.49911268245037,46.917685551920094,0.559202652322846,13.71655637285051
CRS3035RES200mN2624000E3466200,25300.065000277424,144.921045330966,43.215974033179826,210.43659490650836,47.452778666141846,0.563848970759585,13.860168761839168
CRS3035RES200mN2626400E3497000,38607.18948909936,256.7581935936303,66.24935544417644,362.6966049955651,17.296296296296298,2.784481158344164e-4,17.296296296296298
CRS3035RES200mN2628200E3465800,26727.231647812456,168.73614556358186,47.75746217800191,245.46768433964834,56.61033696478338,0.5379582935804825,24.2733772485432
CRS3035RES200mN2628200E3468600,34890.351885795644,218.6752420589568,54.64945118926963,315.3749595669903,63.03883135180559,0.4362128824962807,18.006646563017537
CRS3035RES200mN2635200E3491800,38954.58803514055,242.21896451563185,63.50807971830652,341.56190498772924,24.669172932330827,0.0015768195667895716,24.669172932330827
CRS3035RES200mN2635400E3465200,27925.21901873685,181.94673671621433,51.866777720826896,252.81518024944515,83.17581638245053,0.44166809043795324,28.244276457883295
CRS3035RES200mN2620000E3472200,30661.973749938177,204.6026633364657,51.48261536178842,286.5389361491666,62.580265471666,0.4359513329046936,27.2710675591355
CRS3035RES200mN2622600E3484800,34061.660526377396,230.43153108814303,59.935210574421596,324.46891185638145,19,3.046708383135289e-4,19
CRS3035RES200mN2622600E3485200,35370.83723297146,237.4205808965155,60.41692566976011,334.348362808615,12,2.845386097005778e-4,12
CRS3035RES200mN2622800E3463000,29079.948913453085,186.5687853284763,38.929581710840345,271.61060168320563,38.40689807867352,0.5106016832056275,18.022135845900262
CRS3035RES200mN2625200E3472400,32194.154565568377,205.34279734497366,53.143491000418535,292.2874484243258,59.41534571899322,0.4210010165640135,16.295778648940406
CRS3035RES200mN2625200E3477200,30563.02609932973,202.7972714904452,53.705143727298825,283.94257148919706,81.8260814928843,0.3973064393324763,12.782771512047994
CRS3035RES200mN2625200E3484600,35101.00842591728,229.86789282046493,58.504423023060404,323.61522033423586,NA,NA,NA
CRS3035RES200mN2628600E3483000,35951.275271844584,238.20902952036982,56.21144704898283,336.0404451516821,18.107142857142858,0.0017136911683701562,18.107142857142858
CRS3035RES200mN2610200E3497200,38824.88005215124,253.11360173418578,69.14242628925088,356.9945963776881,2,5.654953582256013e-4,2
CRS3035RES200mN2613200E3473600,28497.323802077517,182.96705015078746,53.97027532670613,255.21795766782085,88.38646934460888,0.4292555567966045,24.21507887461376
CRS3035RES200mN2613200E3480000,29099.983410626366,197.43945379594697,55.467851826405635,276.81335165464327,26.999999999999996,7.156761708462164e-5,26.999999999999996
CRS3035RES200mN2616200E3485200,32340.060829748905,219.00493964201485,63.37063965589017,307.4155126959898,13.394736842105265,0.0010545303177466347,13.394736842105265
CRS3035RES200mN2616200E3488200,35024.46682587332,230.4608487991259,64.97495906113532,324.6133187772926,27.201892744479498,0.004325873362445411,27.201892744479498
CRS3035RES200mN2616200E3492000,36652.88594294347,239.7376351909108,69.7153610454297,338.1701481678388,79.06036454610437,0.3914765016159947,27.57918155825591
CRS3035RES200mN2616200E3501000,39317.78146923952,257.017650209686,71.39948786956343,362.57926916896344,11.933333333333332,1.9596827926786226e-4,11.933333333333332
CRS3035RES200mN2620000E3495600,38565.94949118414,251.23410494402404,71.24661721400065,354.61407040170843,NA,NA,NA
CRS3035RES200mN2625800E3488400,37102.1489278474,238.04337209440143,64.08788212842126,335.53913445467833,4.557046979865772,0.0017661771155601373,4.557046979865772
CRS3035RES200mN2626000E3457200,32504.016997742037,199.52945429636955,48.79179034426773,291.59924651800026,50.10184752392428,0.5156277748179722,15.789104283008195
CRS3035RES200mN2632200E3482400,33605.559204942,227.25860605489012,51.60248278789022,319.8607705366406,23.333333333333332,2.475714420447043e-4,23.333333333333332
CRS3035RES200mN2610200E3486400,36101.728899209855,223.75619623479213,62.97260073902049,314.51062524646164,21.5,2.336823964129752e-4,21.5
CRS3035RES200mN2619400E3464200,26673.569429554816,165.31234836088697,47.25332900750437,238.92537945043165,45.08888287534749,0.57339333070022,19.905636055007513
CRS3035RES200mN2619400E3464600,27296.984543549497,165.913154156646,48.08691616387494,240.14245531130894,47.70648724445866,0.5716917710926402,20.669312898226305
CRS3035RES200mN2619400E3465200,30144.638837594855,176.9398579342508,50.93747220013209,254.7583130029249,58.39290187891441,0.5487862409187099,26.242507675303933
CRS3035RES200mN2619400E3466200,27302.77677172446,159.8445901912116,46.43310362040518,223.7438400421522,79.8789638502935,0.4560656692411147,36.50383691587364
CRS3035RES200mN2619400E3471000,24539.339802430295,163.83425124573833,46.081708774077065,227.6072209109189,54.46257018091069,0.5138269662266519,17.83394771167697
CRS3035RES200mN2619400E3472600,31628.46015813987,210.94014995607225,52.44525881262712,296.12166179249255,62.970315029969036,0.42366802662141506,22.73373007982272
CRS3035RES200mN2622400E3462200,29425.78733341955,185.9722085651435,41.16219433303144,271.5906585586748,45.167802405963286,0.5259283219045144,20.47096115525599
CRS3035RES200mN2625000E3461800,36497.73354658543,235.55041381061184,49.12160446813912,341.7778420919015,32.974513518167726,0.4127849708047728,17.637742625894855
CRS3035RES200mN2628600E3462400,33447.74699025631,212.45057269515516,47.9278449110016,310.6508809829204,48.773401559693966,0.45735727626634265,17.2331767079141
CRS3035RES200mN2628600E3463000,33989.31969172662,217.62358771709586,48.410809217636206,316.8589409106291,45.05062855174789,0.44373246585959586,12.334933208689026
CRS3035RES200mN2628600E3465200,27322.450055032074,173.4294112909716,45.878687820461266,252.25908029314604,47.36563958421728,0.5061877533489032,20.364247454391126
CRS3035RES200mN2636800E3476600,36180.80426475885,228.47424536300318,58.36053007514421,321.891685346279,NA,NA,NA
CRS3035RES200mN2611000E3485600,32501.852445298457,214.43979730986177,63.04094092853158,300.879982024422,NA,NA,NA
CRS3035RES200mN2614200E3495600,38075.77174287573,253.13313084648783,70.36248548347989,357.3848441149074,29.818181818181813,2.8075907043224115e-4,29.818181818181813
CRS3035RES200mN2619800E3489000,36298.43200665119,248.51377134451798,64.42576051503973,350.61536165767876,13.166666666666666,6.395361231320225e-4,13.166666666666666
CRS3035RES200mN2620000E3469600,23967.11015924207,157.90996918823956,44.69772799262825,223.77442623894956,67.11926631921455,0.5000287960376651,31.399838751475716
CRS3035RES200mN2620000E3472000,30413.523979661917,203.3569153122543,51.740240108936064,284.08887278723756,63.328152476033765,0.4404662260921713,28.454296897158063
CRS3035RES200mN2622800E3464000,30162.411303403947,189.79432390569926,40.32242996353347,275.3567987511129,44.230485374793965,0.4957618333272353,22.129265172574996
CRS3035RES200mN2622800E3467800,30473.19200158432,187.38397841343678,51.58770160042589,270.6537980715676,60.129633317213255,0.4351103464494812,21.78781327340482
CRS3035RES200mN2625600E3461400,36718.966046959926,240.77144049523545,48.219686205149095,349.6926141952921,35.315702723314224,0.40390902135355083,16.961647272995634
CRS3035RES200mN2625600E3462000,36434.81493205148,242.06186191467097,47.17726193616449,350.53077952655894,31.290929666166477,0.3971296540539485,14.874525818593305
CRS3035RES200mN2627000E3477400,33575.63084012835,217.2088296813301,60.11330715971493,305.1675558985709,82.27355400807662,0.35176671923760855,19.31535183948616
