IRIS,distance,tt_bike,tt_car,tt_walk,tt_transit,part_transit,walktime
174820000,36271.39074799502,246.29221937898743,63.917638003885926,347.3604868276443,14.607484488358978,7.23160056496423e-4,14.607484488358978
171090000,30897.161683372102,199.69841435247255,50.307362516528954,283.41028130071726,61.453762160380215,0.43364228201345295,15.356482940110117
170940102,28917.229890151135,170.7967767344491,51.05586531548888,251.39352840002306,58.56029146274381,0.5742682701450611,20.000259435784674
173000103,35471.92788501758,230.72241608889982,47.92719431394664,334.9389759296346,32.41138657843852,0.4206762373316957,17.388578497252333
171320000,38855.28498810989,255.49385240380713,64.93299688410777,360.8468168519856,15.459622545700745,3.0269660689630603e-4,15.459622545700745
172670000,34985.78884575191,230.48764521432528,54.435411828479346,324.54386374191216,10.007188888171257,7.995012037829834e-4,10.007188888171257
171900000,33172.06711715273,211.76341354426157,45.55758783971661,307.7415676344655,53.95190900168454,0.4355417312623662,21.382146750328708
173000503,31780.96675761498,201.51159851986736,45.72464673807712,295.4149698938647,42.34378881361298,0.47935459173675,18.829073133440225
173000202,35058.66606132847,227.63050073470785,47.45975592606699,330.96496763113396,37.58608198774301,0.4316893286825628,19.57184233624369
173000201,35949.19978005046,234.9488888469816,47.66570699809889,341.13199400862266,35.88289155481373,0.41479827145088916,19.14392620010675
172640102,32325.373858608516,206.36186514378366,49.018174375677965,301.16786593542344,58.64066336727369,0.4865439286888737,20.018372202273216
174340102,37017.48437583999,245.9372352462245,67.14263887211912,347.28257390281186,74.84146010586808,0.3401694267269317,23.395001562691938
172010000,37975.73130816994,251.00948339187318,64.04225913652226,354.174846171244,6.7977083333333335,2.1470784124405292e-4,6.7977083333333335
173000502,31556.688448185665,200.2936105959005,45.88027298235602,293.26291197032384,45.0680951560924,0.483295287011937,21.68551255873457
171070000,29523.777414469583,192.7538291990989,55.855961447551834,269.9120250149273,13.266324568062513,0.0012775798768652237,13.266324568062513
170030000,29703.671072276164,206.78058044892515,54.604858238020405,290.4874641543984,20.148243284937294,0.008006079583079195,17.82863850372425
170570000,34100.7973228653,228.28847504802386,60.47035291496791,321.3097153796349,28.462530904202968,3.499864013888868e-4,28.462530904202968
173380000,38163.60476539321,252.77731197200532,68.21710181586553,356.67896335552734,15.471939616984749,0.0012546596101448552,15.471939616984749
173000104,34128.618968105475,220.9799727903943,44.162708857115305,320.3485922887883,33.116821123467496,0.43280746029768535,16.56854508806297
174070000,33612.74475981779,213.30035294169545,53.97794781192065,305.5526737297115,73.0088551797981,0.37122853981392273,20.64957366687706
173220000,37432.63869205786,243.047376910348,60.580298917385065,342.75237658026646,12.97768303894688,8.033001715516543e-4,12.97768303894688
172640101,33251.50244774419,213.0144010094966,51.05098675142349,309.4776982922488,61.652561304606536,0.45872470843051544,18.665480025463147
173940000,39184.42661738452,257.2291344858505,71.11347666933366,363.0435564015122,10.209201279256892,0.0012255189814256912,10.209201279256892
170280104,29743.62911167285,184.21167115104535,41.373741222083865,265.74116334462354,47.3350768691119,0.4978276027230062,20.30853260762372
174390000,38328.39818621899,239.06733809046526,64.49106550883923,336.970335998668,10.010324878806545,1.949404375566217e-4,10.010324878806545
170910000,29817.442636328633,196.05681637732633,54.943773070158564,274.7682777737225,24.716648836665343,0.0022408110756311915,24.716648836665343
173000301,36605.35045567028,235.3705295536839,50.2760742722543,342.7613221908475,42.74929653555622,0.4255700444331385,20.002020763337494
173000901,26582.016407114876,168.0906849192176,37.62970061012235,244.667423033855,38.16274547561653,0.5307203915745783,20.130303084964513
173000505,31370.50000121429,198.92754094761182,45.32972505064509,292.2169958649494,41.30814844018564,0.4887859637437688,16.915185830256245
172030000,31024.951561025868,207.78818785368867,58.685045744490075,291.21322798797183,16.47291927344727,2.402510458421004e-4,16.47291927344727
171360000,31791.341320234504,209.8040833772734,51.193217383572325,293.8870476182914,68.49324261992686,0.41577561415071657,23.781500792426446
173730000,32823.1461985146,216.7640288009245,53.511200823369165,304.34319769114376,74.19210879846396,0.39098091932420725,19.764631826631888
174130000,26132.95383315928,160.40111137436665,45.92124884421183,227.5769401422653,69.46070497195639,0.5521842008811353,20.75365536916434
173000802,27351.314068467625,174.11846169091385,38.406675272633166,252.833961586943,37.330775691995136,0.51622706107438,22.109265462739014
173000403,33548.39773060467,211.35458361617924,47.83564429650346,309.4003627180809,47.48831283653355,0.4797158061332928,17.8700401326753
173400000,34291.81987925059,226.72211652752756,63.856296787897186,318.88983568581875,20.717923229059885,1.4498104739825435e-4,20.717923229059885
173001001,29877.881760567478,188.89763308171683,43.252521297614756,276.56130707960745,43.608526449532555,0.5247248920253554,16.52415939004504
173001002,29525.660235778152,187.10019790953422,41.71783770001108,273.2717103181072,39.15544240644589,0.52069791775891,18.843542023044694
173000101,34529.97115559822,225.04339727444616,45.651747888430414,326.6261151937877,31.33164492163297,0.4230354783033332,15.577877424522178
173000702,37445.347764115766,245.17174003169137,47.7376595979096,354.7982880537535,39.08175105326007,0.38537416206624037,21.392641863820142
173000703,38370.89062608743,249.93852618463563,47.55441343768309,361.15545809298243,40.70095023573913,0.3678190948519597,21.869045586453282
172000101,33384.05012902498,211.20401947300368,45.1990250834873,308.48087894626144,46.682112243671234,0.4606787808680304,17.922320519866553
173000904,26960.713080387657,168.91995595474222,40.628798215238156,245.38124838932643,39.839407839685165,0.5280021735282916,17.971253103896537
173000902,27000.18006993386,169.99688945557054,37.754445984409564,246.70913802957907,42.22307775158725,0.5249849191774539,16.811950683770053
851110000,39050.09639362637,237.2566374144036,67.80469412208676,334.4305256776253,26,1.3392984695092321e-5,26
174430000,27487.92545243209,175.6533334255748,50.66476555229467,244.409176124456,74.4712739022446,0.519520705038072,18.452211729045207
173910000,30084.681226042525,186.63837442113672,50.65223557806608,271.04451737598254,58.49318352742393,0.45563955087179786,16.097119996160437
170080000,34406.88804782284,219.42818156613785,56.44066667676574,308.4500587557346,16.92012088828542,0.003212986368759506,16.92012088828542
173490000,37227.29062675861,234.15993520640262,61.56720111615189,329.8915066524485,13.911452776356485,0.003699701720135443,13.911452776356485
171740000,35343.200890752625,221.98045038004702,63.85317654818615,312.2564756416919,18.524080848900905,5.453717716024111e-4,18.524080848900905
170940101,29994.326851683072,176.99427101811213,49.78861358888882,258.3620380724148,57.20949764346903,0.5569321597154608,22.336031138181582
171660000,30436.805321911637,210.98573365010108,58.19417366805076,296.3952863388255,19.663906059228523,9.565236590695697e-4,19.663906059228523
170410000,37723.44958920111,245.0535139612859,61.29358141604973,345.6787995586908,13.468682687418225,0.0015347891021450142,13.468682687418225
171420000,33557.30504242414,208.25402306523708,51.61943190986057,301.5705215288461,53.86759160817706,0.39364029305300136,19.58609951891391
171930000,24054.079819256003,149.8016090325178,44.438258592598366,214.99028431857352,68.23583863225583,0.5612526106735727,23.713992119703097
170590000,31942.946881934244,202.73770857562306,51.810713017757614,288.6768315148131,58.509881364663045,0.4259517971390524,14.448050212398602
173000603,31753.736035340964,204.31893361531237,44.14405159942577,297.46987195891944,38.16701213959962,0.4684104038035865,20.455690916244453
171860000,35014.37013374165,230.10289903382517,58.785316597123135,324.05814858548297,1,1.1469480845880057e-5,1
174470000,28776.398694404008,196.8931470902211,53.31272762512215,275.95564982988435,71.62998454012542,0.142582563248213,27.10831614423544
173000302,36218.75758826704,231.95535978016335,50.262923876992296,337.8808748668867,43.66983157642242,0.43598131862621237,17.01891609365656
170180000,30627.11914239926,200.43884270344245,58.2978865841665,281.1243860061584,8.186370357484561,3.214915858406752e-4,8.186370357484561
172180000,32981.968794773005,212.35212579385217,56.76635072908357,298.6106383577599,13.80341079350435,0.011687105926737584,13.80341079350435
171820000,36737.03497555571,250.43408342905178,56.52666856537241,353.3232272016372,11.206298757584513,1.149693910854648e-5,11.206298757584513
170100000,27088.95970065194,165.4445144089473,48.77882266284654,239.84809578713836,50.19420086476233,0.5765180144127102,19.249729575504766
172740101,26122.707955955237,155.77777345814164,45.57896439941912,225.6614943465082,48.0673517619207,0.5376397236485155,20.57905416897935
172000103,32480.65417491007,206.52681099380663,44.23898477340076,301.7367939715204,46.15174770628359,0.47111516638614587,20.97469167863034
172000102,33050.00713796535,211.82329288613448,45.732045835988345,308.07340368068503,45.30774641735913,0.4584206089887843,19.708945157098995
170630000,37473.96419131553,246.67176672683192,67.72219331681407,347.70096237871365,24.516419532644985,4.4062209066188967e-4,24.516419532644985
172210000,38661.34123181001,253.20689034224299,70.46113442020689,357.2215066866715,12.966494776498248,2.8377141334533424e-4,12.966494776498248
173000602,31407.06244874874,199.85589240195918,45.114650039363646,292.32574536361864,39.517319798576956,0.4815077430992806,20.05813430247896
173000402,32883.0146790558,205.35932357164282,48.51974774541298,300.84772295884875,48.9437097292953,0.5000558366844037,17.338486788316732
174140000,29947.476155332963,192.4820225101046,50.5416130724549,273.8814968224616,58.74485557340866,0.44903832852155007,17.364515666767737
172910000,30405.946816092306,195.66602595780031,46.2330953221613,283.58231194083606,49.10937392382392,0.4747587611416694,19.3194755915681
171530000,29849.533387288924,196.95096996361508,52.23367372029054,273.7438282086196,69.53390254451742,0.4261084250376806,14.474733664169914
172740102,25091.6217656911,145.0499707103921,43.73538619951037,210.6154464225117,48.69956136436161,0.5681944859176677,16.635969390408093
173000601,36021.687173651146,233.0201281047767,49.118648033331134,339.66647407804544,40.92531981092602,0.429929554260453,16.40505903870535
174340101,36102.41710779797,239.2825374715538,67.60198218466857,337.5937296752695,78.2224646643327,0.3420830860922192,28.460261811623383
170090000,34461.35265083134,225.95082173553155,58.57275173583778,318.1061124837479,67.9546874583973,0.00182925652719091,24.107662616598482
171580000,35941.31355122702,245.03693173961173,52.731629115074945,345.86316332401907,13.279225750210747,0.0015996945108831177,13.279225750210747
173760000,35605.6857969088,227.91666343240132,56.41027271414057,322.9566218720628,76.50812875633795,0.00525849805341178,37.3212561179175
171940000,31077.48914301113,207.27787190408583,51.743617631956745,291.14486006907214,63.51635629730956,0.42518901131449754,22.398617437196293
173000102,34709.3749584333,226.0018759110807,46.34419306570539,327.8470772163527,30.301696800584928,0.42419170527987643,15.115475925275652
173030000,38527.97627781484,244.55235153052482,62.54990052081562,344.9413127457567,19.397544968037028,0.001311857536399099,19.397544968037028
173590000,38064.321636869594,253.61128861842914,69.40850123127318,357.9777053399481,21.492440153994398,4.3116582935933247e-4,21.492440153994398
