COMMUNE,distance,tt_bike,tt_car,tt_walk,tt_transit,part_transit,walktime
17483,30018.668707784364,184.21424635206043,48.33174400265571,261.3525928806475,73.91204275851291,0.476782274905669,16.826018322486053
17107,29523.777414469605,192.75382919909907,55.855961447551906,269.91202501492745,13.266324568062512,0.0012775798768652252,13.266324568062512
17136,31789.191299566555,209.79989850760862,51.19267598341084,293.8799435135636,68.50444918966487,0.41578797965142733,23.78023917947726
17373,32823.146198514616,216.76402880092445,53.51120082336918,304.3431976911439,74.19210879846395,0.39098091932420737,19.764631826631888
17466,32452.675011671592,211.89736684570616,56.75862775629328,298.17312908767286,80.37916298953132,0.36499987259002176,13.943886495698989
17264,32759.655896285924,209.44606589356252,49.90398669533369,305.1075022455704,59.96116192634347,0.47467404160278776,19.385034166289532
17008,34384.0056814553,219.25316457714925,56.451271526323524,308.2028218075445,16.843303564368863,0.003221410593729623,16.843303564368863
17221,38661.341231809994,253.20689034224293,70.4611344202069,357.22150668667155,12.966494776498248,2.837714133453342e-4,12.966494776498248
17182,36737.03497555569,250.4340834290516,56.52666856537241,353.323227201637,11.206298757584511,1.1496939108546476e-5,11.206298757584511
17003,29702.625153169367,206.77905494881753,54.60800634415081,290.4857331097806,17.726158171403355,0.007716555911118092,17.052405183254454
17059,31942.946881934233,202.737708575623,51.8107130177576,288.67683151481305,58.509881364663045,0.4259517971390523,14.448050212398599
17201,37975.73130816992,251.009483391873,64.04225913652222,354.1748461712439,6.797708333333333,2.1470784124405284e-4,6.797708333333333
17094,29418.3548459491,173.68019313972945,50.46626986757859,254.63566371956614,57.942117417003416,0.5662025547238748,21.069196399067398
17032,29733.886985134184,190.14925568172652,55.26208392754934,266.094383809037,86.67981922931861,0.04225203522556142,27.430494190064817
17009,34462.184421736354,225.98957802216242,58.52045654687548,318.1614329143617,67.61160335580769,0.0018168104776170322,24.04698509921221
17222,29148.135112350727,188.99220093472314,51.6699344309391,264.9925363810664,64.32556620328879,0.4496502261651665,14.252079594578268
17376,35579.70492007522,227.73965844643195,56.375398715255976,322.70058774285945,79.69472133012016,0.01006184995686523,36.680444111894154
17267,34991.307640282554,230.5067926128158,54.43330898300846,324.57073919089265,9.945053846321654,7.984615096319889e-4,9.945053846321654
17203,31027.717859472257,207.77447936637216,58.69920566666783,291.19027740279785,16.560074718442362,2.400359417019715e-4,16.560074718442362
17359,38064.32163686962,253.61128861842926,69.40850123127323,357.9777053399485,21.492440153994394,4.3116582935933285e-4,21.492440153994394
17443,27487.925452432097,175.6533334255748,50.66476555229468,244.40917612445602,74.47127390224465,0.5195207050380718,18.45221172904521
17041,37723.44958920122,245.05351396128657,61.29358141604981,345.6787995586911,13.468682687418227,0.0015347891021450166,13.468682687418227
17218,32991.823495601566,212.39858694930672,56.783902512619854,298.6779992788941,13.803410793504353,0.011667376374886367,13.803410793504353
