idINS,km_pa,f_i,ind_18_64,IRIS,COMMUNE
CRS3035RES200mN2600800E3492600,8688.436431492353,3.335705400413886,4.3,173210000,17321
CRS3035RES200mN2601200E3490200,6802.287826951633,1.163618162934903,1.5000000000000002,173210000,17321
CRS3035RES200mN2601400E3490200,6778.803408796235,0.38787272097830683,0.5,173210000,17321
CRS3035RES200mN2601400E3491600,10611.606547597537,2.327236325870204,3,173210000,17321
CRS3035RES200mN2601600E3490000,7341.695689725284,0.7757454419565468,1,173210000,17321
CRS3035RES200mN2601600E3490200,6684.650501172343,4.266599930761135,5.5,173210000,17321
CRS3035RES200mN2601600E3490400,6661.799665101766,0.387872720978325,0.5,173210000,17321
CRS3035RES200mN2601600E3491600,10767.978473192206,0.3878727209783675,0.5,173210000,17321
CRS3035RES200mN2601600E3491800,10983.748644728592,0.7757454419483091,1,173210000,17321
CRS3035RES200mN2602200E3489600,8214.161256662324,1.8617890606959495,2.4,173210000,17321
CRS3035RES200mN2602600E3491800,8546.07150249579,1.7842145165004533,2.3,173210000,17321
CRS3035RES200mN2602800E3491800,8649.383259216742,4.576898107544707,5.9,173210000,17321
CRS3035RES200mN2603000E3489000,8941.405657105783,7.6023053311746995,9.8,173210000,17321
CRS3035RES200mN2603000E3491800,8661.90054995091,16.29065428109118,21,173210000,17321
CRS3035RES200mN2603000E3492000,8485.51771310697,2.9478326794355794,3.8,173210000,17321
CRS3035RES200mN2603200E3488800,11268.628866041567,0.8725407293915958,1.1,171740000,17174
CRS3035RES200mN2603200E3489000,10283.001945039388,15.204610662351994,19.6,173210000,17321
CRS3035RES200mN2603200E3491600,9031.681910386273,11.481032540959566,14.8,173210000,17321
CRS3035RES200mN2603200E3491800,8857.587843557409,15.514908839134206,20,173210000,17321
CRS3035RES200mN2603200E3492000,8924.626389761746,4.887196284327377,6.299999999999999,173210000,17321
CRS3035RES200mN2603400E3491800,8878.074302145482,6.205963535653809,8,173210000,17321
CRS3035RES200mN2603600E3487800,10906.090855846918,1.0311844983718894,1.3,171740000,17174
CRS3035RES200mN2603600E3489400,11945.206168414108,0.543021809369714,0.7000000000000001,173210000,17321
CRS3035RES200mN2603600E3491800,8211.993175709775,1.7842145165004868,2.3,173210000,17321
CRS3035RES200mN2603800E3490200,11834.880795238398,3.6460035771966597,4.7,173210000,17321
CRS3035RES200mN2603800E3490400,11983.317885262471,6.516261712436569,8.4,173210000,17321
CRS3035RES200mN2603800E3490600,10205.749922271521,2.792683591044244,3.6,173210000,17321
CRS3035RES200mN2604000E3488600,12767.489027226018,0.8725407293487586,1.1,171740000,17174
CRS3035RES200mN2604000E3490400,12940.60106553498,1.6657595742930624,2.1,171740000,17174
CRS3035RES200mN2604000E3490600,10676.276050803815,22.03117055157124,28.4,173210000,17321
CRS3035RES200mN2604000E3491400,8227.337050124022,3.413279944609589,4.3999999999999995,173210000,17321
CRS3035RES200mN2604000E3491600,8654.052946806252,1.6290654281091208,2.1,173210000,17321
CRS3035RES200mN2604200E3488400,12921.474015916798,3.6488066861278745,4.6,171740000,17174
CRS3035RES200mN2604200E3488600,12427.583190652102,6.266428873809488,7.9,171740000,17174
CRS3035RES200mN2604400E3486000,11374.239348440116,7.456257142073631,9.4,171740000,17174
